ccaa,year,spend_type,total_gastos_eur,func41_agricultura_pesca_alimentacion_eur,source_ref
Extremadura,2020,presupuestado,6005877870.0,761202350.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2020
Galicia,2020,presupuestado,11821575340.0,479554920.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2020
Islas Baleares,2020,presupuestado,5893123690.0,42506380.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2020
Comunidad de Madrid,2020,presupuestado,23333117440.0,49241710.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2020
Región de Murcia,2020,presupuestado,6197019180.0,115332190.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2020
Comunidad Foral de Navarra,2020,presupuestado,4573798030.0,110139480.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2020
País Vasco,2020,presupuestado,11856675120.0,132657440.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2020
La Rioja,2020,presupuestado,1574571170.0,57670810.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2020
Andalucía,2021,presupuestado,40188042640.0,2633708000.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2021
Aragón,2021,presupuestado,7454031860.0,674185060.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2021
Principado de Asturias,2021,presupuestado,5237551820.0,223110400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2021
Comunidad Valenciana,2021,presupuestado,26138651980.0,515850970.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2021
Canarias,2021,presupuestado,9531472030.0,104141280.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2021
Cantabria,2021,presupuestado,3078036810.0,62276220.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2021
Castilla y León,2021,presupuestado,12291444520.0,1419449800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2021
Castilla-La Mancha,2021,presupuestado,12102388410.0,1322390090.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2021
Cataluña,2021,presupuestado,42322981600.0,642326590.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2021
Extremadura,2021,presupuestado,6423894820.0,1002336790.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2021
Galicia,2021,presupuestado,13396505620.0,443686160.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2021
Islas Baleares,2021,presupuestado,5881551720.0,49348140.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2021
Comunidad de Madrid,2021,presupuestado,25878871500.0,49468570.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2021
Región de Murcia,2021,presupuestado,6753606720.0,125541310.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2021
Comunidad Foral de Navarra,2021,presupuestado,4870520380.0,101135130.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2021
País Vasco,2021,presupuestado,12522062110.0,144423190.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2021
La Rioja,2021,presupuestado,1891434680.0,62984500.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2021
Andalucía,2022,presupuestado,40401786870.0,2623781320.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2022
Aragón,2022,presupuestado,7443845670.0,689672360.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2022
Principado de Asturias,2022,presupuestado,5354165580.0,224835380.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2022
Comunidad Valenciana,2022,presupuestado,28632359900.0,549703990.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2022
Canarias,2022,presupuestado,9973597460.0,129387980.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2022
Cantabria,2022,presupuestado,3342636840.0,64928300.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2022
Castilla y León,2022,presupuestado,12291444520.0,1419449800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2022
Castilla-La Mancha,2022,presupuestado,12273515110.0,1323418140.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2022
Cataluña,2022,presupuestado,49012465220.0,709823290.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2022
Extremadura,2022,presupuestado,6999970120.0,1000410910.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2022
Galicia,2022,presupuestado,13117948260.0,487694940.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2022
Islas Baleares,2022,presupuestado,6397821720.0,59029890.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2022
Comunidad de Madrid,2022,presupuestado,25999172460.0,59609520.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2022
Región de Murcia,2022,presupuestado,6962801970.0,144272800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2022
Comunidad Foral de Navarra,2022,presupuestado,5273126600.0,112088960.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2022
País Vasco,2022,presupuestado,13187367280.0,159302690.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2022
La Rioja,2022,presupuestado,1949893600.0,68587300.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2022
Andalucía,2023,presupuestado,45603830880.0,2631840170.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2023
Aragón,2023,presupuestado,8249589670.0,715069100.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2023
Principado de Asturias,2023,presupuestado,5968218480.0,235097500.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2023
Comunidad Valenciana,2023,presupuestado,29120879530.0,571725090.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2023
Canarias,2023,presupuestado,11059201620.0,150339660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2023
Cantabria,2023,presupuestado,3507353720.0,67013610.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2023
Castilla y León,2023,presupuestado,13809836890.0,1460955040.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2023
Castilla-La Mancha,2023,presupuestado,12431575550.0,1328093030.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2023
Cataluña,2023,presupuestado,51807587280.0,829573330.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2023
Extremadura,2023,presupuestado,7781092740.0,1074515800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2023
Galicia,2023,presupuestado,14167171150.0,512738330.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2023
Islas Baleares,2023,presupuestado,7133371720.0,73687670.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2023
Comunidad de Madrid,2023,presupuestado,28142467640.0,61847200.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2023
Región de Murcia,2023,presupuestado,7770713380.0,151201200.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2023
Comunidad Foral de Navarra,2023,presupuestado,5748951170.0,124966970.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2023
País Vasco,2023,presupuestado,14361725450.0,181855050.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2023
La Rioja,2023,presupuestado,1908873120.0,69557060.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2023
Andalucía,2024,presupuestado,46753227850.0,2767369280.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2024
Aragón,2024,presupuestado,8546300920.0,735047600.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2024
Principado de Asturias,2024,presupuestado,6348595440.0,238733550.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2024
Comunidad Valenciana,2024,presupuestado,30410305550.0,592820790.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2024
Canarias,2024,presupuestado,11970645240.0,126432400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2024
Cantabria,2024,presupuestado,3547667850.0,70353410.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2024
Castilla y León,2024,presupuestado,14562494120.0,1497089800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2024
Castilla-La Mancha,2024,presupuestado,12473342760.0,1368495640.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2024
Cataluña,2024,presupuestado,51827587280.0,829573330.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2024
Extremadura,2024,presupuestado,8127109110.0,1137029050.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2024
Galicia,2024,presupuestado,14815200890.0,524626050.00000006,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2024
Islas Baleares,2024,presupuestado,7320653450.0,96692960.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2024
Comunidad de Madrid,2024,presupuestado,30584355910.0,63137610.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2024
Región de Murcia,2024,presupuestado,7819336860.0,148971990.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2024
Comunidad Foral de Navarra,2024,presupuestado,6355410180.0,133593579.99999999,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2024
País Vasco,2024,presupuestado,15147034390.0,207904600.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2024
La Rioja,2024,presupuestado,1973863310.0,74316320.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2024
Andalucía,2013,liquidado,30580324490.0,2247215690.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2013
Aragón,2013,liquidado,4931464950.0,629795660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2013
Principado de Asturias,2013,liquidado,3766619420.0,156610560.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2013
Comunidad Valenciana,2013,liquidado,14359510470.0,312111420.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2013
Canarias,2013,liquidado,6839938100.0,54070510.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2013
Cantabria,2013,liquidado,2126314180.0000002,45568010.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2013
Castilla y León,2013,liquidado,9256779750.0,1301686600.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2013
Castilla-La Mancha,2013,liquidado,7049466690.0,1079198400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2013
Cataluña,2013,liquidado,37601933280.0,651771450.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2013
Extremadura,2013,liquidado,4468498970.0,640311670.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2013
Galicia,2013,liquidado,9778132160.0,506712090.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2013
Islas Baleares,2013,liquidado,3594567160.0,56598800.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2013
Comunidad de Madrid,2013,liquidado,18948878270.0,,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2013
Región de Murcia,2013,liquidado,4590361690.0,83845460.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2013
Comunidad Foral de Navarra,2013,liquidado,3679616430.0,84564850.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2013
País Vasco,2013,liquidado,9566537740.0,113264660.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2013
La Rioja,2013,liquidado,1527679420.0,80613550.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2013
Andalucía,2014,liquidado,29298151710.0,2090211410.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2014
Aragón,2014,liquidado,5174375170.0,597748400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2014
Principado de Asturias,2014,liquidado,3828806800.0,160516440.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2014
Comunidad Valenciana,2014,liquidado,19338281140.0,278351980.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2014
Canarias,2014,liquidado,7364770250.0,57230750.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2014
Cantabria,2014,liquidado,2245169890.0,43077440.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2014
Castilla y León,2014,liquidado,9587464660.0,1333517530.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2014
Castilla-La Mancha,2014,liquidado,8082690570.0,1094977030.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2014
Cataluña,2014,liquidado,34143479100.0,482049580.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2014
Extremadura,2014,liquidado,4744297860.0,644095490.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2014
Galicia,2014,liquidado,10126559440.0,485383720.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2014
Islas Baleares,2014,liquidado,4246849740.0,58861200.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2014
Comunidad de Madrid,2014,liquidado,21879317220.0,,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2014
Región de Murcia,2014,liquidado,4846794050.0,66544140.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2014
Comunidad Foral de Navarra,2014,liquidado,3803564070.0,73133670.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2014
País Vasco,2014,liquidado,10108776260.0,113381440.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2014
La Rioja,2014,liquidado,1414760260.0,83106700.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2014
Andalucía,2015,liquidado,28836259670.0,1808011780.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2015
Aragón,2015,liquidado,5884533700.0,555726820.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionLiquidaciones/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2015
