year,sex,age_group,deaths_all_cause
2022,all,70-74,36476
2022,all,75-79,50617
2022,all,80-84,61479
2022,all,85-89,96180
2022,all,90-94,85890
2022,all,95+,43563
2022,all,<1,869
2022,all,all,464417
2022,female,1-4,106
2022,female,10-14,94
2022,female,15-19,144
2022,female,20-24,211
2022,female,25-29,231
2022,female,30-34,363
2022,female,35-39,621
2022,female,40-44,1194
2022,female,45-49,2084
2022,female,5-9,76
2022,female,50-54,3410
2022,female,55-59,5131
2022,female,60-64,7227
2022,female,65-69,9075
2022,female,70-74,12667
2022,female,75-79,19885
2022,female,80-84,28517
2022,female,85-89,52390
2022,female,90-94,54179
2022,female,95+,32080
2022,female,<1,370
2022,female,all,230055
2022,male,1-4,151
2022,male,10-14,153
2022,male,15-19,331
2022,male,20-24,533
2022,male,25-29,554
2022,male,30-34,851
2022,male,35-39,1169
2022,male,40-44,2228
2022,male,45-49,3613
2022,male,5-9,99
2022,male,50-54,6358
2022,male,55-59,10366
2022,male,60-64,14572
2022,male,65-69,18398
2022,male,70-74,23809
2022,male,75-79,30732
2022,male,80-84,32962
2022,male,85-89,43790
2022,male,90-94,31711
2022,male,95+,11483
2022,male,<1,499
2022,male,all,234362
2023,all,1-4,229
2023,all,10-14,188
2023,all,15-19,444
2023,all,20-24,728
2023,all,25-29,825
2023,all,30-34,1168
2023,all,35-39,1722
2023,all,40-44,3170
2023,all,45-49,5520
2023,all,5-9,169
2023,all,50-54,9069
2023,all,55-59,14901
2023,all,60-64,20953
2023,all,65-69,26669
2023,all,70-74,34329
2023,all,75-79,49031
2023,all,80-84,58334
2023,all,85-89,85598
2023,all,90-94,80923
2023,all,95+,41306
2023,all,<1,848
2023,all,all,436124
2023,female,1-4,92
2023,female,10-14,86
2023,female,15-19,164
2023,female,20-24,186
2023,female,25-29,239
2023,female,30-34,351
2023,female,35-39,567
2023,female,40-44,1144
2023,female,45-49,1979
2023,female,5-9,85
2023,female,50-54,3125
2023,female,55-59,5016
2023,female,60-64,6957
2023,female,65-69,8918
2023,female,70-74,11988
2023,female,75-79,19180
2023,female,80-84,26657
2023,female,85-89,47100
2023,female,90-94,50883
2023,female,95+,30277
2023,female,<1,388
2023,female,all,215382
2023,male,1-4,137
2023,male,10-14,102
2023,male,15-19,280
2023,male,20-24,542
2023,male,25-29,586
2023,male,30-34,817
2023,male,35-39,1155
2023,male,40-44,2026
2023,male,45-49,3541
2023,male,5-9,84
2023,male,50-54,5944
2023,male,55-59,9885
2023,male,60-64,13996
2023,male,65-69,17751
2023,male,70-74,22341
2023,male,75-79,29851
2023,male,80-84,31677
2023,male,85-89,38498
2023,male,90-94,30040
2023,male,95+,11029
2023,male,<1,460
2023,male,all,220742
2024,all,1-4,201
2024,all,10-14,210
2024,all,15-19,432
2024,all,20-24,661
2024,all,25-29,808
2024,all,30-34,1127
2024,all,35-39,1671
2024,all,40-44,3055
2024,all,45-49,5450
2024,all,5-9,171
2024,all,50-54,8831
2024,all,55-59,14389
2024,all,60-64,20963
2024,all,65-69,27004
2024,all,70-74,33622
2024,all,75-79,48173
2024,all,80-84,61177
2024,all,85-89,80436
2024,all,90-94,82931
2024,all,95+,43836
2024,all,<1,970
2024,all,all,436118
2024,female,1-4,89
2024,female,10-14,90
2024,female,15-19,143
2024,female,20-24,191
2024,female,25-29,238
2024,female,30-34,355
2024,female,35-39,532
2024,female,40-44,1046
2024,female,45-49,1957
2024,female,5-9,65
2024,female,50-54,3132
2024,female,55-59,4893
2024,female,60-64,6967
2024,female,65-69,9373
2024,female,70-74,11879
2024,female,75-79,18640
2024,female,80-84,27754
2024,female,85-89,43964
2024,female,90-94,52142
2024,female,95+,32163
2024,female,<1,415
2024,female,all,216028
2024,male,1-4,112
2024,male,10-14,120
2024,male,15-19,289
2024,male,20-24,470
2024,male,25-29,570
2024,male,30-34,772
2024,male,35-39,1139
2024,male,40-44,2009
2024,male,45-49,3493
2024,male,5-9,106
2024,male,50-54,5699
2024,male,55-59,9496
2024,male,60-64,13996
2024,male,65-69,17631
2024,male,70-74,21743
2024,male,75-79,29533
2024,male,80-84,33423
2024,male,85-89,36472
2024,male,90-94,30789
2024,male,95+,11673
2024,male,<1,555
2024,male,all,220090
