year,crime_label,nationality_label,count
2018,violacion,europa_no_ue28,0.0
2018,violacion,oceania,0.0
2018,violacion,total,32.0
2018,violacion,ue28_excl_espana,2.0
2019,abusos_agresiones_menores16,africa,23.0
2019,abusos_agresiones_menores16,america,53.0
2019,abusos_agresiones_menores16,asia,8.0
2019,abusos_agresiones_menores16,española,423.0
2019,abusos_agresiones_menores16,europa_no_ue28,2.0
2019,abusos_agresiones_menores16,oceania,0.0
2019,abusos_agresiones_menores16,total,529.0
2019,abusos_agresiones_menores16,ue28_excl_espana,20.0
2019,abusos_sexuales,africa,93.0
2019,abusos_sexuales,america,113.0
2019,abusos_sexuales,asia,26.0
2019,abusos_sexuales,española,878.0
2019,abusos_sexuales,europa_no_ue28,11.0
2019,abusos_sexuales,oceania,2.0
2019,abusos_sexuales,total,1218.0
2019,abusos_sexuales,ue28_excl_espana,95.0
2019,acoso_sexual,africa,2.0
2019,acoso_sexual,america,5.0
2019,acoso_sexual,asia,0.0
2019,acoso_sexual,española,61.0
2019,acoso_sexual,europa_no_ue28,0.0
2019,acoso_sexual,oceania,0.0
2019,acoso_sexual,total,69.0
2019,acoso_sexual,ue28_excl_espana,1.0
2019,agresion_sexual,africa,68.0
2019,agresion_sexual,america,40.0
2019,agresion_sexual,asia,6.0
2019,agresion_sexual,española,232.0
2019,agresion_sexual,europa_no_ue28,5.0
2019,agresion_sexual,oceania,0.0
2019,agresion_sexual,total,392.0
2019,agresion_sexual,ue28_excl_espana,41.0
2019,agresiones_sexuales,africa,78.0
2019,agresiones_sexuales,america,42.0
2019,agresiones_sexuales,asia,7.0
2019,agresiones_sexuales,española,253.0
2019,agresiones_sexuales,europa_no_ue28,5.0
2019,agresiones_sexuales,oceania,0.0
2019,agresiones_sexuales,total,428.0
2019,agresiones_sexuales,ue28_excl_espana,43.0
2019,cap8_total,africa,258.0
2019,cap8_total,america,262.0
2019,cap8_total,asia,47.0
2019,cap8_total,española,2458.0
2019,cap8_total,europa_no_ue28,26.0
2019,cap8_total,oceania,2.0
2019,cap8_total,total,3296.0
2019,cap8_total,ue28_excl_espana,243.0
2019,exhibicionismo,africa,33.0
2019,exhibicionismo,america,19.0
2019,exhibicionismo,asia,3.0
2019,exhibicionismo,española,341.0
2019,exhibicionismo,europa_no_ue28,6.0
2019,exhibicionismo,oceania,0.0
2019,exhibicionismo,total,432.0
2019,exhibicionismo,ue28_excl_espana,30.0
2019,prostitucion_menores,africa,29.0
2019,prostitucion_menores,america,30.0
2019,prostitucion_menores,asia,3.0
2019,prostitucion_menores,española,502.0
2019,prostitucion_menores,europa_no_ue28,2.0
2019,prostitucion_menores,oceania,0.0
2019,prostitucion_menores,total,620.0
2019,prostitucion_menores,ue28_excl_espana,54.0
2019,violacion,africa,10.0
2019,violacion,america,2.0
2019,violacion,asia,1.0
2019,violacion,española,21.0
2019,violacion,europa_no_ue28,0.0
2019,violacion,oceania,0.0
2019,violacion,total,36.0
2019,violacion,ue28_excl_espana,2.0
2020,abusos_agresiones_menores16,africa,21.0
2020,abusos_agresiones_menores16,america,74.0
2020,abusos_agresiones_menores16,asia,9.0
2020,abusos_agresiones_menores16,española,434.0
2020,abusos_agresiones_menores16,europa_no_ue27,5.0
2020,abusos_agresiones_menores16,oceania,0.0
2020,abusos_agresiones_menores16,total,560.0
2020,abusos_agresiones_menores16,ue27_excl_espana,17.0
2020,abusos_sexuales,africa,99.0
2020,abusos_sexuales,america,112.0
2020,abusos_sexuales,asia,39.0
2020,abusos_sexuales,española,751.0
2020,abusos_sexuales,europa_no_ue27,12.0
2020,abusos_sexuales,oceania,0.0
2020,abusos_sexuales,total,1070.0
2020,abusos_sexuales,ue27_excl_espana,57.0
2020,acoso_sexual,africa,3.0
2020,acoso_sexual,america,2.0
2020,acoso_sexual,asia,1.0
2020,acoso_sexual,española,51.0
2020,acoso_sexual,europa_no_ue27,0.0
2020,acoso_sexual,oceania,0.0
2020,acoso_sexual,total,58.0
2020,acoso_sexual,ue27_excl_espana,1.0
2020,agresion_sexual,africa,77.0
2020,agresion_sexual,america,46.0
2020,agresion_sexual,asia,7.0
2020,agresion_sexual,española,215.0
2020,agresion_sexual,europa_no_ue27,8.0
2020,agresion_sexual,oceania,0.0
2020,agresion_sexual,total,390.0
2020,agresion_sexual,ue27_excl_espana,37.0
2020,agresiones_sexuales,africa,85.0
2020,agresiones_sexuales,america,48.0
2020,agresiones_sexuales,asia,7.0
2020,agresiones_sexuales,española,238.0
2020,agresiones_sexuales,europa_no_ue27,8.0
2020,agresiones_sexuales,oceania,0.0
2020,agresiones_sexuales,total,428.0
2020,agresiones_sexuales,ue27_excl_espana,42.0
2020,cap8_total,africa,257.0
2020,cap8_total,america,257.0
2020,cap8_total,asia,63.0
2020,cap8_total,española,2118.0
2020,cap8_total,europa_no_ue27,35.0
2020,cap8_total,oceania,0.0
2020,cap8_total,total,2885.0
2020,cap8_total,ue27_excl_espana,155.0
2020,exhibicionismo,africa,25.0
2020,exhibicionismo,america,10.0
2020,exhibicionismo,asia,5.0
2020,exhibicionismo,española,274.0
2020,exhibicionismo,europa_no_ue27,4.0
2020,exhibicionismo,oceania,0.0
2020,exhibicionismo,total,340.0
2020,exhibicionismo,ue27_excl_espana,22.0
2020,prostitucion_menores,africa,24.0
2020,prostitucion_menores,america,11.0
2020,prostitucion_menores,asia,2.0
2020,prostitucion_menores,española,370.0
2020,prostitucion_menores,europa_no_ue27,6.0
2020,prostitucion_menores,oceania,0.0
2020,prostitucion_menores,total,429.0
2020,prostitucion_menores,ue27_excl_espana,16.0
2020,violacion,africa,8.0
2020,violacion,america,2.0
2020,violacion,asia,0.0
2020,violacion,española,23.0
2020,violacion,europa_no_ue27,0.0
2020,violacion,oceania,0.0
2020,violacion,total,38.0
2020,violacion,ue27_excl_espana,5.0
2021,abusos_agresiones_menores16,africa,38.0
2021,abusos_agresiones_menores16,america,85.0
2021,abusos_agresiones_menores16,asia,9.0
2021,abusos_agresiones_menores16,española,570.0
2021,abusos_agresiones_menores16,europa_no_ue27,9.0
2021,abusos_agresiones_menores16,oceania,0.0
2021,abusos_agresiones_menores16,total,738.0
2021,abusos_agresiones_menores16,ue27_excl_espana,27.0
2021,abusos_sexuales,africa,138.0
2021,abusos_sexuales,america,178.0
2021,abusos_sexuales,asia,45.0
2021,abusos_sexuales,española,1080.0
2021,abusos_sexuales,europa_no_ue27,21.0
2021,abusos_sexuales,oceania,1.0
2021,abusos_sexuales,total,1556.0
2021,abusos_sexuales,ue27_excl_espana,93.0
2021,acoso_sexual,africa,1.0
2021,acoso_sexual,america,4.0
2021,acoso_sexual,asia,2.0
2021,acoso_sexual,española,62.0
2021,acoso_sexual,europa_no_ue27,0.0
2021,acoso_sexual,oceania,0.0
2021,acoso_sexual,total,74.0
2021,acoso_sexual,ue27_excl_espana,5.0
2021,agresion_sexual,africa,86.0
2021,agresion_sexual,america,61.0
2021,agresion_sexual,asia,9.0
2021,agresion_sexual,española,245.0
2021,agresion_sexual,europa_no_ue27,8.0
