year,sex,age_group,cause,deaths
2000,all,80-84,Accidentes de tráfico,150
2000,all,80-84,Agresiones (homicidio),2
2000,all,80-84,Envenenamiento accidental por psicofármacos y drogas de abuso,3
2000,all,80-84,Eventos de intención no determinada,4
2000,all,80-84,Suicidio y lesiones autoinfligidas,203
2000,all,80-84,Todas las causas,58873
2000,all,80-84,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,85-89,Accidentes de tráfico,94
2000,all,85-89,Agresiones (homicidio),6
2000,all,85-89,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,all,85-89,Eventos de intención no determinada,2
2000,all,85-89,Suicidio y lesiones autoinfligidas,135
2000,all,85-89,Todas las causas,59660
2000,all,85-89,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,90-94,Accidentes de tráfico,30
2000,all,90-94,Agresiones (homicidio),2
2000,all,90-94,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,all,90-94,Eventos de intención no determinada,4
2000,all,90-94,Suicidio y lesiones autoinfligidas,42
2000,all,90-94,Todas las causas,37319
2000,all,90-94,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,95+,Accidentes de tráfico,9
2000,all,95+,Agresiones (homicidio),0
2000,all,95+,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,all,95+,Eventos de intención no determinada,0
2000,all,95+,Suicidio y lesiones autoinfligidas,6
2000,all,95+,Todas las causas,12908
2000,all,95+,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,<1,Accidentes de tráfico,10
2000,all,<1,Agresiones (homicidio),4
2000,all,<1,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,all,<1,Eventos de intención no determinada,0
2000,all,<1,Suicidio y lesiones autoinfligidas,0
2000,all,<1,Todas las causas,1740
2000,all,<1,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,all,all,Accidentes de tráfico,6098
2000,all,all,Agresiones (homicidio),411
2000,all,all,Envenenamiento accidental por psicofármacos y drogas de abuso,698
2000,all,all,Eventos de intención no determinada,98
2000,all,all,Suicidio y lesiones autoinfligidas,3393
2000,all,all,Todas las causas,360391
2000,all,all,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",34
2000,female,1-4,Accidentes de tráfico,19
2000,female,1-4,Agresiones (homicidio),2
2000,female,1-4,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,female,1-4,Eventos de intención no determinada,0
2000,female,1-4,Suicidio y lesiones autoinfligidas,0
2000,female,1-4,Todas las causas,163
2000,female,1-4,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,10-14,Accidentes de tráfico,37
2000,female,10-14,Agresiones (homicidio),1
2000,female,10-14,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,10-14,Eventos de intención no determinada,0
2000,female,10-14,Suicidio y lesiones autoinfligidas,3
2000,female,10-14,Todas las causas,145
2000,female,10-14,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,15-19,Accidentes de tráfico,125
2000,female,15-19,Agresiones (homicidio),4
2000,female,15-19,Envenenamiento accidental por psicofármacos y drogas de abuso,4
2000,female,15-19,Eventos de intención no determinada,2
2000,female,15-19,Suicidio y lesiones autoinfligidas,18
2000,female,15-19,Todas las causas,336
2000,female,15-19,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,20-24,Accidentes de tráfico,165
2000,female,20-24,Agresiones (homicidio),4
2000,female,20-24,Envenenamiento accidental por psicofármacos y drogas de abuso,10
2000,female,20-24,Eventos de intención no determinada,0
2000,female,20-24,Suicidio y lesiones autoinfligidas,25
2000,female,20-24,Todas las causas,463
2000,female,20-24,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,25-29,Accidentes de tráfico,113
2000,female,25-29,Agresiones (homicidio),11
2000,female,25-29,Envenenamiento accidental por psicofármacos y drogas de abuso,11
2000,female,25-29,Eventos de intención no determinada,2
2000,female,25-29,Suicidio y lesiones autoinfligidas,48
2000,female,25-29,Todas las causas,533
2000,female,25-29,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1
2000,female,30-34,Accidentes de tráfico,90
2000,female,30-34,Agresiones (homicidio),23
2000,female,30-34,Envenenamiento accidental por psicofármacos y drogas de abuso,25
2000,female,30-34,Eventos de intención no determinada,1
2000,female,30-34,Suicidio y lesiones autoinfligidas,59
2000,female,30-34,Todas las causas,784
2000,female,30-34,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,35-39,Accidentes de tráfico,73
2000,female,35-39,Agresiones (homicidio),12
2000,female,35-39,Envenenamiento accidental por psicofármacos y drogas de abuso,18
2000,female,35-39,Eventos de intención no determinada,5
2000,female,35-39,Suicidio y lesiones autoinfligidas,47
2000,female,35-39,Todas las causas,1117
2000,female,35-39,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2
2000,female,40-44,Accidentes de tráfico,82
2000,female,40-44,Agresiones (homicidio),12
2000,female,40-44,Envenenamiento accidental por psicofármacos y drogas de abuso,7
2000,female,40-44,Eventos de intención no determinada,3
2000,female,40-44,Suicidio y lesiones autoinfligidas,53
2000,female,40-44,Todas las causas,1589
2000,female,40-44,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1
2000,female,45-49,Accidentes de tráfico,69
2000,female,45-49,Agresiones (homicidio),6
2000,female,45-49,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,female,45-49,Eventos de intención no determinada,2
2000,female,45-49,Suicidio y lesiones autoinfligidas,52
2000,female,45-49,Todas las causas,1920
2000,female,45-49,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,5-9,Accidentes de tráfico,18
2000,female,5-9,Agresiones (homicidio),0
2000,female,5-9,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,5-9,Eventos de intención no determinada,0
2000,female,5-9,Suicidio y lesiones autoinfligidas,0
2000,female,5-9,Todas las causas,119
2000,female,5-9,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,50-54,Accidentes de tráfico,75
2000,female,50-54,Agresiones (homicidio),8
2000,female,50-54,Envenenamiento accidental por psicofármacos y drogas de abuso,3
2000,female,50-54,Eventos de intención no determinada,1
2000,female,50-54,Suicidio y lesiones autoinfligidas,64
2000,female,50-54,Todas las causas,2640
2000,female,50-54,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,55-59,Accidentes de tráfico,67
2000,female,55-59,Agresiones (homicidio),5
2000,female,55-59,Envenenamiento accidental por psicofármacos y drogas de abuso,2
2000,female,55-59,Eventos de intención no determinada,1
2000,female,55-59,Suicidio y lesiones autoinfligidas,53
2000,female,55-59,Todas las causas,3402
2000,female,55-59,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,60-64,Accidentes de tráfico,65
2000,female,60-64,Agresiones (homicidio),2
2000,female,60-64,Envenenamiento accidental por psicofármacos y drogas de abuso,4
2000,female,60-64,Eventos de intención no determinada,2
2000,female,60-64,Suicidio y lesiones autoinfligidas,67
2000,female,60-64,Todas las causas,5002
2000,female,60-64,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,65-69,Accidentes de tráfico,102
2000,female,65-69,Agresiones (homicidio),4
2000,female,65-69,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,65-69,Eventos de intención no determinada,1
2000,female,65-69,Suicidio y lesiones autoinfligidas,78
2000,female,65-69,Todas las causas,9412
2000,female,65-69,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,70-74,Accidentes de tráfico,108
2000,female,70-74,Agresiones (homicidio),5
2000,female,70-74,Envenenamiento accidental por psicofármacos y drogas de abuso,3
2000,female,70-74,Eventos de intención no determinada,1
2000,female,70-74,Suicidio y lesiones autoinfligidas,87
2000,female,70-74,Todas las causas,15027
2000,female,70-74,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,75-79,Accidentes de tráfico,108
2000,female,75-79,Agresiones (homicidio),8
2000,female,75-79,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,female,75-79,Eventos de intención no determinada,3
2000,female,75-79,Suicidio y lesiones autoinfligidas,70
2000,female,75-79,Todas las causas,23757
2000,female,75-79,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,80-84,Accidentes de tráfico,69
2000,female,80-84,Agresiones (homicidio),0
2000,female,80-84,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,female,80-84,Eventos de intención no determinada,1
2000,female,80-84,Suicidio y lesiones autoinfligidas,51
2000,female,80-84,Todas las causas,31801
2000,female,80-84,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,85-89,Accidentes de tráfico,41
2000,female,85-89,Agresiones (homicidio),3
2000,female,85-89,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,85-89,Eventos de intención no determinada,0
2000,female,85-89,Suicidio y lesiones autoinfligidas,33
2000,female,85-89,Todas las causas,36969
2000,female,85-89,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,90-94,Accidentes de tráfico,11
2000,female,90-94,Agresiones (homicidio),1
2000,female,90-94,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,90-94,Eventos de intención no determinada,2
2000,female,90-94,Suicidio y lesiones autoinfligidas,8
2000,female,90-94,Todas las causas,25485
2000,female,90-94,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,95+,Accidentes de tráfico,5
2000,female,95+,Agresiones (homicidio),0
2000,female,95+,Envenenamiento accidental por psicofármacos y drogas de abuso,1
2000,female,95+,Eventos de intención no determinada,0
2000,female,95+,Suicidio y lesiones autoinfligidas,3
2000,female,95+,Todas las causas,9478
2000,female,95+,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,<1,Accidentes de tráfico,3
2000,female,<1,Agresiones (homicidio),2
2000,female,<1,Envenenamiento accidental por psicofármacos y drogas de abuso,0
2000,female,<1,Eventos de intención no determinada,0
2000,female,<1,Suicidio y lesiones autoinfligidas,0
2000,female,<1,Todas las causas,781
2000,female,<1,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0
2000,female,all,Accidentes de tráfico,1445
2000,female,all,Agresiones (homicidio),113
2000,female,all,Envenenamiento accidental por psicofármacos y drogas de abuso,93
2000,female,all,Eventos de intención no determinada,27
2000,female,all,Suicidio y lesiones autoinfligidas,819
2000,female,all,Todas las causas,170923
2000,female,all,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",4
2000,male,1-4,Accidentes de tráfico,19
2000,male,1-4,Agresiones (homicidio),0
2000,male,1-4,Envenenamiento accidental por psicofármacos y drogas de abuso,0
