year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,all,50-54,,Agresiones (homicidio),26,2417614,1.0754
2000,all,50-54,,Envenenamiento accidental por psicofármacos y drogas de abuso,12,2417614,0.4964
2000,all,50-54,,Eventos de intención no determinada,3,2417614,0.1241
2000,all,50-54,,Suicidio y lesiones autoinfligidas,219,2417614,9.0585
2000,all,50-54,I-XXII,Todas las causas,9331,2417614,385.959
2000,all,50-54,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2,2417614,0.0827
2000,all,55-59,,Accidentes de tráfico,314,2131111,14.7341
2000,all,55-59,,Agresiones (homicidio),22,2131111,1.0323
2000,all,55-59,,Envenenamiento accidental por psicofármacos y drogas de abuso,4,2131111,0.1877
2000,all,55-59,,Eventos de intención no determinada,5,2131111,0.2346
2000,all,55-59,,Suicidio y lesiones autoinfligidas,202,2131111,9.4786
2000,all,55-59,I-XXII,Todas las causas,12024,2131111,564.2128
2000,all,55-59,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,2131111,0.0
2000,all,60-64,,Accidentes de tráfico,279,1903022,14.6609
2000,all,60-64,,Agresiones (homicidio),18,1903022,0.9459
2000,all,60-64,,Envenenamiento accidental por psicofármacos y drogas de abuso,4,1903022,0.2102
2000,all,60-64,,Eventos de intención no determinada,8,1903022,0.4204
2000,all,60-64,,Suicidio y lesiones autoinfligidas,222,1903022,11.6657
2000,all,60-64,I-XXII,Todas las causas,17127,1903022,899.9896
2000,all,60-64,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1,1903022,0.0525
2000,all,65-69,,Accidentes de tráfico,330,2084685,15.8297
2000,all,65-69,,Agresiones (homicidio),13,2084685,0.6236
2000,all,65-69,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,2084685,0.0959
2000,all,65-69,,Eventos de intención no determinada,4,2084685,0.1919
2000,all,65-69,,Suicidio y lesiones autoinfligidas,279,2084685,13.3833
2000,all,65-69,I-XXII,Todas las causas,29420,2084685,1411.2444
2000,all,65-69,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,2084685,0.0
2000,all,70-74,,Accidentes de tráfico,331,1794689,18.4433
2000,all,70-74,,Agresiones (homicidio),7,1794689,0.39
2000,all,70-74,,Envenenamiento accidental por psicofármacos y drogas de abuso,3,1794689,0.1672
2000,all,70-74,,Eventos de intención no determinada,7,1794689,0.39
2000,all,70-74,,Suicidio y lesiones autoinfligidas,292,1794689,16.2702
2000,all,70-74,I-XXII,Todas las causas,41327,1794689,2302.7388
2000,all,70-74,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1794689,0.0
2000,all,75-79,,Accidentes de tráfico,284,1381450,20.5581
2000,all,75-79,,Agresiones (homicidio),12,1381450,0.8687
2000,all,75-79,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,1381450,0.1448
2000,all,75-79,,Eventos de intención no determinada,4,1381450,0.2896
2000,all,75-79,,Suicidio y lesiones autoinfligidas,266,1381450,19.2551
2000,all,75-79,I-XXII,Todas las causas,55264,1381450,4000.4343
2000,all,75-79,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1381450,0.0
2000,all,80-84,,Accidentes de tráfico,150,816297,18.3757
2000,all,80-84,,Agresiones (homicidio),2,816297,0.245
2000,all,80-84,,Envenenamiento accidental por psicofármacos y drogas de abuso,3,816297,0.3675
2000,all,80-84,,Eventos de intención no determinada,4,816297,0.49
2000,all,80-84,,Suicidio y lesiones autoinfligidas,203,816297,24.8684
2000,all,80-84,I-XXII,Todas las causas,58873,816297,7212.2034
2000,all,80-84,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,816297,0.0
2000,all,85-89,,Accidentes de tráfico,94,466032,20.1703
2000,all,85-89,,Agresiones (homicidio),6,466032,1.2875
2000,all,85-89,,Envenenamiento accidental por psicofármacos y drogas de abuso,2,466032,0.4292
2000,all,85-89,,Eventos de intención no determinada,2,466032,0.4292
2000,all,85-89,,Suicidio y lesiones autoinfligidas,135,466032,28.968
2000,all,85-89,I-XXII,Todas las causas,59660,466032,12801.696
2000,all,85-89,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,466032,0.0
2000,all,90-94,,Accidentes de tráfico,30,170618,17.5831
2000,all,90-94,,Agresiones (homicidio),2,170618,1.1722
2000,all,90-94,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,170618,0.5861
2000,all,90-94,,Eventos de intención no determinada,4,170618,2.3444
2000,all,90-94,,Suicidio y lesiones autoinfligidas,42,170618,24.6164
2000,all,90-94,I-XXII,Todas las causas,37319,170618,21872.8387
2000,all,90-94,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,170618,0.0
2000,all,95+,,Accidentes de tráfico,9,36061,24.9577
2000,all,95+,,Agresiones (homicidio),0,36061,0.0
2000,all,95+,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,36061,2.7731
2000,all,95+,,Eventos de intención no determinada,0,36061,0.0
2000,all,95+,,Suicidio y lesiones autoinfligidas,6,36061,16.6385
2000,all,95+,I-XXII,Todas las causas,12908,36061,35794.9031
2000,all,95+,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,36061,0.0
2000,all,<1,,Accidentes de tráfico,10,384769,2.599
2000,all,<1,,Agresiones (homicidio),4,384769,1.0396
2000,all,<1,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,384769,0.0
2000,all,<1,,Eventos de intención no determinada,0,384769,0.0
2000,all,<1,,Suicidio y lesiones autoinfligidas,0,384769,0.0
2000,all,<1,I-XXII,Todas las causas,1740,384769,452.2194
2000,all,<1,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,384769,0.0
2000,all,all,,Accidentes de tráfico,6098,40554388,15.0366
2000,all,all,,Agresiones (homicidio),411,40554388,1.0135
2000,all,all,,Envenenamiento accidental por psicofármacos y drogas de abuso,698,40554388,1.7211
2000,all,all,,Eventos de intención no determinada,98,40554388,0.2417
2000,all,all,,Suicidio y lesiones autoinfligidas,3393,40554388,8.3665
2000,all,all,I-XXII,Todas las causas,360391,40554388,888.6609
2000,all,all,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",34,40554388,0.0838
2000,female,1-4,,Accidentes de tráfico,19,716157,2.653
2000,female,1-4,,Agresiones (homicidio),2,716157,0.2793
2000,female,1-4,,Envenenamiento accidental por psicofármacos y drogas de abuso,1,716157,0.1396
2000,female,1-4,,Eventos de intención no determinada,0,716157,0.0
2000,female,1-4,,Suicidio y lesiones autoinfligidas,0,716157,0.0
2000,female,1-4,I-XXII,Todas las causas,163,716157,22.7604
2000,female,1-4,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,716157,0.0
2000,female,10-14,,Accidentes de tráfico,37,1047377,3.5326
2000,female,10-14,,Agresiones (homicidio),1,1047377,0.0955
2000,female,10-14,,Envenenamiento accidental por psicofármacos y drogas de abuso,0,1047377,0.0
2000,female,10-14,,Eventos de intención no determinada,0,1047377,0.0
2000,female,10-14,,Suicidio y lesiones autoinfligidas,3,1047377,0.2864
2000,female,10-14,I-XXII,Todas las causas,145,1047377,13.8441
2000,female,10-14,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1047377,0.0
2000,female,15-19,,Accidentes de tráfico,125,1280803,9.7595
2000,female,15-19,,Agresiones (homicidio),4,1280803,0.3123
2000,female,15-19,,Envenenamiento accidental por psicofármacos y drogas de abuso,4,1280803,0.3123
2000,female,15-19,,Eventos de intención no determinada,2,1280803,0.1562
2000,female,15-19,,Suicidio y lesiones autoinfligidas,18,1280803,1.4054
2000,female,15-19,I-XXII,Todas las causas,336,1280803,26.2335
2000,female,15-19,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1280803,0.0
2000,female,20-24,,Accidentes de tráfico,165,1623925,10.1606
2000,female,20-24,,Agresiones (homicidio),4,1623925,0.2463
2000,female,20-24,,Envenenamiento accidental por psicofármacos y drogas de abuso,10,1623925,0.6158
2000,female,20-24,,Eventos de intención no determinada,0,1623925,0.0
2000,female,20-24,,Suicidio y lesiones autoinfligidas,25,1623925,1.5395
2000,female,20-24,I-XXII,Todas las causas,463,1623925,28.5112
2000,female,20-24,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1623925,0.0
2000,female,25-29,,Accidentes de tráfico,113,1687139,6.6977
2000,female,25-29,,Agresiones (homicidio),11,1687139,0.652
2000,female,25-29,,Envenenamiento accidental por psicofármacos y drogas de abuso,11,1687139,0.652
2000,female,25-29,,Eventos de intención no determinada,2,1687139,0.1185
2000,female,25-29,,Suicidio y lesiones autoinfligidas,48,1687139,2.8451
2000,female,25-29,I-XXII,Todas las causas,533,1687139,31.5919
2000,female,25-29,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",1,1687139,0.0593
2000,female,30-34,,Accidentes de tráfico,90,1650004,5.4545
2000,female,30-34,,Agresiones (homicidio),23,1650004,1.3939
2000,female,30-34,,Envenenamiento accidental por psicofármacos y drogas de abuso,25,1650004,1.5151
2000,female,30-34,,Eventos de intención no determinada,1,1650004,0.0606
2000,female,30-34,,Suicidio y lesiones autoinfligidas,59,1650004,3.5757
2000,female,30-34,I-XXII,Todas las causas,784,1650004,47.515
2000,female,30-34,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",0,1650004,0.0
2000,female,35-39,,Accidentes de tráfico,73,1597503,4.5696
2000,female,35-39,,Agresiones (homicidio),12,1597503,0.7512
2000,female,35-39,,Envenenamiento accidental por psicofármacos y drogas de abuso,18,1597503,1.1268
2000,female,35-39,,Eventos de intención no determinada,5,1597503,0.313
2000,female,35-39,,Suicidio y lesiones autoinfligidas,47,1597503,2.9421
2000,female,35-39,I-XXII,Todas las causas,1117,1597503,69.9216
2000,female,35-39,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2,1597503,0.1252
2000,female,40-44,,Accidentes de tráfico,82,1459473,5.6185
2000,female,40-44,,Agresiones (homicidio),12,1459473,0.8222
