year,sex,cause_chapter,deaths
2024,female,XX,6745
2024,male,I,6108
2024,male,II,67790
2024,male,III,871
2024,male,IV,6842
2024,male,IX,54257
2024,male,V,7750
2024,male,VI-VIII,10551
2024,male,X,26760
2024,male,XI,11771
2024,male,XII,773
2024,male,XIII,1787
2024,male,XIV,8043
2024,male,XV,0
2024,male,XVI,328
2024,male,XVII,482
2024,male,XVIII,4371
2024,male,XX,11606
