year,sex,age_group,nationality,population_july1
2007,female,35-39,spanish,1600403
2007,female,35-39,total,1847315
2007,female,40-44,foreign,185270
2007,female,40-44,spanish,1595420
2007,female,40-44,total,1780690
2007,female,45-49,foreign,137476
2007,female,45-49,spanish,1488889
2007,female,45-49,total,1626365
2007,female,5-9,foreign,99854
2007,female,5-9,spanish,944411
2007,female,5-9,total,1044265
2007,female,50-54,foreign,98882
2007,female,50-54,spanish,1300517
2007,female,50-54,total,1399398
2007,female,55-59,foreign,74460
2007,female,55-59,spanish,1209749
2007,female,55-59,total,1284209
2007,female,60-64,foreign,59758
2007,female,60-64,spanish,1127414
2007,female,60-64,total,1187171
2007,female,65-69,foreign,44512
2007,female,65-69,spanish,914434
2007,female,65-69,total,958946
2007,female,70-74,foreign,27123
2007,female,70-74,spanish,1041402
2007,female,70-74,total,1068524
2007,female,75-79,foreign,15902
2007,female,75-79,spanish,936592
2007,female,75-79,total,952494
2007,female,80+,foreign,16934
2007,female,80+,spanish,1300171
2007,female,80+,total,1317105
2007,female,all,foreign,2234712
2007,female,all,spanish,20639219
2007,female,all,total,22873931
2007,male,0-4,foreign,110148
2007,male,0-4,spanish,1105770
2007,male,0-4,total,1215918
2007,male,10-14,foreign,112164
2007,male,10-14,spanish,959721
2007,male,10-14,total,1071885
2007,male,15-19,foreign,136351
2007,male,15-19,spanish,1054013
2007,male,15-19,total,1190364
2007,male,20-24,foreign,245363
2007,male,20-24,spanish,1203703
2007,male,20-24,total,1449066
2007,male,25-29,foreign,396229
2007,male,25-29,spanish,1517309
2007,male,25-29,total,1913538
2007,male,30-34,foreign,403365
2007,male,30-34,spanish,1695255
2007,male,30-34,total,2098620
2007,male,35-39,foreign,327048
2007,male,35-39,spanish,1637206
2007,male,35-39,total,1964254
2007,male,40-44,foreign,229761
2007,male,40-44,spanish,1606266
2007,male,40-44,total,1836027
2007,male,45-49,foreign,158372
2007,male,45-49,spanish,1478037
2007,male,45-49,total,1636409
2007,male,5-9,foreign,104607
2007,male,5-9,spanish,998133
2007,male,5-9,total,1102740
2007,male,50-54,foreign,102430
2007,male,50-54,spanish,1278587
2007,male,50-54,total,1381016
2007,male,55-59,foreign,68568
2007,male,55-59,spanish,1170640
2007,male,55-59,total,1239208
2007,male,60-64,foreign,54485
2007,male,60-64,spanish,1054180
2007,male,60-64,total,1108664
2007,male,65-69,foreign,46326
2007,male,65-69,spanish,812176
2007,male,65-69,total,858502
2007,male,70-74,foreign,29971
2007,male,70-74,spanish,851587
2007,male,70-74,total,881557
2007,male,75-79,foreign,16722
2007,male,75-79,spanish,687326
2007,male,75-79,total,704048
2007,male,80+,foreign,13985
2007,male,80+,spanish,696271
2007,male,80+,total,710257
2007,male,all,foreign,2555894
2007,male,all,spanish,19806180
2007,male,all,total,22362074
2008,all,0-4,foreign,244787
2008,all,0-4,spanish,2194096
2008,all,0-4,total,2438882
2008,all,10-14,foreign,242589
2008,all,10-14,spanish,1856494
2008,all,10-14,total,2099082
2008,all,15-19,foreign,281324
2008,all,15-19,spanish,2032978
2008,all,15-19,total,2314302
2008,all,20-24,foreign,519179
2008,all,20-24,spanish,2269885
2008,all,20-24,total,2789064
2008,all,25-29,foreign,792444
2008,all,25-29,spanish,2841579
2008,all,25-29,total,3634023
2008,all,30-34,foreign,792801
2008,all,30-34,spanish,3335144
2008,all,30-34,total,4127945
2008,all,35-39,foreign,633018
2008,all,35-39,spanish,3270810
2008,all,35-39,total,3903828
2008,all,40-44,foreign,466634
2008,all,40-44,spanish,3248239
2008,all,40-44,total,3714873
2008,all,45-49,foreign,331118
2008,all,45-49,spanish,3019110
2008,all,45-49,total,3350227
2008,all,5-9,foreign,221727
2008,all,5-9,spanish,1998120
2008,all,5-9,total,2219848
2008,all,50-54,foreign,226877
2008,all,50-54,spanish,2658738
2008,all,50-54,total,2885615
2008,all,55-59,foreign,156454
2008,all,55-59,spanish,2396754
2008,all,55-59,total,2553209
2008,all,60-64,foreign,125067
2008,all,60-64,spanish,2249810
2008,all,60-64,total,2374876
2008,all,65-69,foreign,98413
2008,all,65-69,spanish,1774838
2008,all,65-69,total,1873252
2008,all,70-74,foreign,63842
2008,all,70-74,spanish,1825472
2008,all,70-74,total,1889314
2008,all,75-79,foreign,35614
2008,all,75-79,spanish,1663037
2008,all,75-79,total,1698651
2008,all,80+,foreign,33568
2008,all,80+,spanish,2082610
2008,all,80+,total,2116178
2008,all,all,foreign,5265454
2008,all,all,spanish,40717715
2008,all,all,total,45983169
2008,female,0-4,foreign,118140
2008,female,0-4,spanish,1064728
2008,female,0-4,total,1182868
2008,female,10-14,foreign,117243
2008,female,10-14,spanish,903211
2008,female,10-14,total,1020453
2008,female,15-19,foreign,133458
2008,female,15-19,spanish,988863
2008,female,15-19,total,1122321
2008,female,20-24,foreign,256354
2008,female,20-24,spanish,1106025
2008,female,20-24,total,1362380
2008,female,25-29,foreign,371969
2008,female,25-29,spanish,1388878
2008,female,25-29,total,1760848
2008,female,30-34,foreign,346568
2008,female,30-34,spanish,1636385
2008,female,30-34,total,1982953
2008,female,35-39,foreign,271653
2008,female,35-39,spanish,1614312
2008,female,35-39,total,1885964
2008,female,40-44,foreign,205994
2008,female,40-44,spanish,1617315
2008,female,40-44,total,1823309
2008,female,45-49,foreign,152848
2008,female,45-49,spanish,1513413
2008,female,45-49,total,1666261
2008,female,5-9,foreign,107891
2008,female,5-9,spanish,971589
2008,female,5-9,total,1079480
2008,female,50-54,foreign,110240
2008,female,50-54,spanish,1341329
2008,female,50-54,total,1451569
2008,female,55-59,foreign,80677
2008,female,55-59,spanish,1216542
2008,female,55-59,total,1297219
2008,female,60-64,foreign,65485
2008,female,60-64,spanish,1161877
2008,female,60-64,total,1227362
2008,female,65-69,foreign,48683
2008,female,65-69,spanish,936981
2008,female,65-69,total,985663
2008,female,70-74,foreign,30296
2008,female,70-74,spanish,1003509
2008,female,70-74,total,1033806
2008,female,75-79,foreign,17309
2008,female,75-79,spanish,956195
2008,female,75-79,total,973503
2008,female,80+,foreign,18223
2008,female,80+,spanish,1352123
2008,female,80+,total,1370347
2008,female,all,foreign,2453030
2008,female,all,spanish,20773275
2008,female,all,total,23226305
2008,male,0-4,foreign,126647
2008,male,0-4,spanish,1129368
2008,male,0-4,total,1256015
2008,male,10-14,foreign,125346
2008,male,10-14,spanish,953283
2008,male,10-14,total,1078629
2008,male,15-19,foreign,147866
2008,male,15-19,spanish,1044115
2008,male,15-19,total,1191981
2008,male,20-24,foreign,262824
2008,male,20-24,spanish,1163860
2008,male,20-24,total,1426684
2008,male,25-29,foreign,420474
2008,male,25-29,spanish,1452700
2008,male,25-29,total,1873175
2008,male,30-34,foreign,446232
2008,male,30-34,spanish,1698759
2008,male,30-34,total,2144991
2008,male,35-39,foreign,361365
2008,male,35-39,spanish,1656498
2008,male,35-39,total,2017863
2008,male,40-44,foreign,260640
2008,male,40-44,spanish,1630924
2008,male,40-44,total,1891564
2008,male,45-49,foreign,178269
2008,male,45-49,spanish,1505697
2008,male,45-49,total,1683966
2008,male,5-9,foreign,113837
2008,male,5-9,spanish,1026531
2008,male,5-9,total,1140368
2008,male,50-54,foreign,116637
2008,male,50-54,spanish,1317410
2008,male,50-54,total,1434047
2008,male,55-59,foreign,75778
2008,male,55-59,spanish,1180212
2008,male,55-59,total,1255990
2008,male,60-64,foreign,59582
2008,male,60-64,spanish,1087933
2008,male,60-64,total,1147514
2008,male,65-69,foreign,49730
2008,male,65-69,spanish,837858
2008,male,65-69,total,887588
2008,male,70-74,foreign,33546
2008,male,70-74,spanish,821963
2008,male,70-74,total,855509
2008,male,75-79,foreign,18305
2008,male,75-79,spanish,706842
2008,male,75-79,total,725148
2008,male,80+,foreign,15345
2008,male,80+,spanish,730486
2008,male,80+,total,745831
2008,male,all,foreign,2812424
2008,male,all,spanish,19944440
2008,male,all,total,22756864
2009,all,0-4,foreign,266647
2009,all,0-4,spanish,2217057
2009,all,0-4,total,2483704
2009,all,10-14,foreign,254001
2009,all,10-14,spanish,1864187
2009,all,10-14,total,2118188
2009,all,15-19,foreign,281468
2009,all,15-19,spanish,2003642
2009,all,15-19,total,2285110
2009,all,20-24,foreign,496591
2009,all,20-24,spanish,2207172
2009,all,20-24,total,2703764
2009,all,25-29,foreign,775941
2009,all,25-29,spanish,2711042
2009,all,25-29,total,3486983
2009,all,30-34,foreign,825406
2009,all,30-34,spanish,3301553
2009,all,30-34,total,4126960
2009,all,35-39,foreign,663130
2009,all,35-39,spanish,3306901
2009,all,35-39,total,3970031
2009,all,40-44,foreign,499905
2009,all,40-44,spanish,3261224
2009,all,40-44,total,3761129
2009,all,45-49,foreign,353119
2009,all,45-49,spanish,3082129
2009,all,45-49,total,3435248
2009,all,5-9,foreign,225417
2009,all,5-9,spanish,2056223
2009,all,5-9,total,2281641
2009,all,50-54,foreign,243918
2009,all,50-54,spanish,2749924
2009,all,50-54,total,2993842
2009,all,55-59,foreign,165426
2009,all,55-59,spanish,2401267
2009,all,55-59,total,2566694
2009,all,60-64,foreign,131067
2009,all,60-64,spanish,2296075
2009,all,60-64,total,2427142
2009,all,65-69,foreign,103651
2009,all,65-69,spanish,1896427
2009,all,65-69,total,2000078
2009,all,70-74,foreign,70135
2009,all,70-74,spanish,1722589
2009,all,70-74,total,1792724
2009,all,75-79,foreign,38356
2009,all,75-79,spanish,1687459
2009,all,75-79,total,1725815
2009,all,80+,foreign,36006
2009,all,80+,spanish,2172493
2009,all,80+,total,2208499
2009,all,all,foreign,5430184
2009,all,all,spanish,40937366
2009,all,all,total,46367550
2009,female,0-4,foreign,128207
2009,female,0-4,spanish,1074817
2009,female,0-4,total,1203024
2009,female,10-14,foreign,122799
2009,female,10-14,spanish,906864
2009,female,10-14,total,1029663
2009,female,15-19,foreign,133351
2009,female,15-19,spanish,974407
2009,female,15-19,total,1107757
2009,female,20-24,foreign,249839
2009,female,20-24,spanish,1075113
2009,female,20-24,total,1324952
2009,female,25-29,foreign,374199
2009,female,25-29,spanish,1324617
2009,female,25-29,total,1698816
2009,female,30-34,foreign,369038
2009,female,30-34,spanish,1619220
2009,female,30-34,total,1988257
2009,female,35-39,foreign,287907
2009,female,35-39,spanish,1630090
2009,female,35-39,total,1917997
2009,female,40-44,foreign,221888
2009,female,40-44,spanish,1621784
2009,female,40-44,total,1843673
2009,female,45-49,foreign,163529
2009,female,45-49,spanish,1543218
2009,female,45-49,total,1706747
2009,female,5-9,foreign,109254
2009,female,5-9,spanish,999896
2009,female,5-9,total,1109150
2009,female,50-54,foreign,118274
2009,female,50-54,spanish,1386516
2009,female,50-54,total,1504790
2009,female,55-59,foreign,84972
2009,female,55-59,spanish,1217897
2009,female,55-59,total,1302869
2009,female,60-64,foreign,68853
2009,female,60-64,spanish,1184857
2009,female,60-64,total,1253710
2009,female,65-69,foreign,51876
2009,female,65-69,spanish,998375
2009,female,65-69,total,1050251
2009,female,70-74,foreign,33299
2009,female,70-74,spanish,946694
2009,female,70-74,total,979993
2009,female,75-79,foreign,18530
2009,female,75-79,spanish,967548
2009,female,75-79,total,986078
2009,female,80+,foreign,19392
2009,female,80+,spanish,1405927
2009,female,80+,total,1425320
2009,female,all,foreign,2555207
2009,female,all,spanish,20877841
2009,female,all,total,23433048
2009,male,0-4,foreign,138440
2009,male,0-4,spanish,1142240
2009,male,0-4,total,1280680
2009,male,10-14,foreign,131202
2009,male,10-14,spanish,957323
2009,male,10-14,total,1088525
2009,male,15-19,foreign,148117
2009,male,15-19,spanish,1029235
2009,male,15-19,total,1177353
2009,male,20-24,foreign,246752
2009,male,20-24,spanish,1132059
2009,male,20-24,total,1378811
2009,male,25-29,foreign,401742
2009,male,25-29,spanish,1386425
2009,male,25-29,total,1788167
2009,male,30-34,foreign,456369
2009,male,30-34,spanish,1682334
2009,male,30-34,total,2138703
2009,male,35-39,foreign,375224
2009,male,35-39,spanish,1676811
2009,male,35-39,total,2052035
2009,male,40-44,foreign,278016
2009,male,40-44,spanish,1639440
2009,male,40-44,total,1917456
2009,male,45-49,foreign,189590
2009,male,45-49,spanish,1538911
2009,male,45-49,total,1728501
2009,male,5-9,foreign,116163
2009,male,5-9,spanish,1056327
2009,male,5-9,total,1172490
2009,male,50-54,foreign,125644
2009,male,50-54,spanish,1363408
2009,male,50-54,total,1489052
2009,male,55-59,foreign,80454
2009,male,55-59,spanish,1183371
2009,male,55-59,total,1263825
2009,male,60-64,foreign,62214
2009,male,60-64,spanish,1111218
2009,male,60-64,total,1173432
2009,male,65-69,foreign,51775
2009,male,65-69,spanish,898051
2009,male,65-69,total,949826
2009,male,70-74,foreign,36836
2009,male,70-74,spanish,775895
2009,male,70-74,total,812731
2009,male,75-79,foreign,19826
2009,male,75-79,spanish,719911
2009,male,75-79,total,739737
2009,male,80+,foreign,16614
2009,male,80+,spanish,766565
2009,male,80+,total,783178
2009,male,all,foreign,2874977
2009,male,all,spanish,20059525
2009,male,all,total,22934502
2010,all,0-4,foreign,280027
2010,all,0-4,spanish,2208591
2010,all,0-4,total,2488618
2010,all,10-14,foreign,251110
2010,all,10-14,spanish,1897371
2010,all,10-14,total,2148481
2010,all,15-19,foreign,272668
2010,all,15-19,spanish,1973213
2010,all,15-19,total,2245881
2010,all,20-24,foreign,449087
2010,all,20-24,spanish,2159778
2010,all,20-24,total,2608865
2010,all,25-29,foreign,715382
2010,all,25-29,spanish,2597935
2010,all,25-29,total,3313317
2010,all,30-34,foreign,810645
2010,all,30-34,spanish,3244240
2010,all,30-34,total,4054885
2010,all,35-39,foreign,665119
2010,all,35-39,spanish,3359666
2010,all,35-39,total,4024785
2010,all,40-44,foreign,511299
2010,all,40-44,spanish,3278853
2010,all,40-44,total,3790152
2010,all,45-49,foreign,360053
2010,all,45-49,spanish,3150688
2010,all,45-49,total,3510740
2010,all,5-9,foreign,218818
2010,all,5-9,spanish,2108344
2010,all,5-9,total,2327162
2010,all,50-54,foreign,252694
2010,all,50-54,spanish,2849524
2010,all,50-54,total,3102219
2010,all,55-59,foreign,170732
2010,all,55-59,spanish,2441332
2010,all,55-59,total,2612064
2010,all,60-64,foreign,135003
2010,all,60-64,spanish,2307522
2010,all,60-64,total,2442525
2010,all,65-69,foreign,106693
2010,all,65-69,spanish,1982093
2010,all,65-69,total,2088787
2010,all,70-74,foreign,75420
2010,all,70-74,spanish,1677527
2010,all,70-74,total,1752947
2010,all,75-79,foreign,40944
2010,all,75-79,spanish,1698189
2010,all,75-79,total,1739133
2010,all,80+,foreign,38087
2010,all,80+,spanish,2273835
2010,all,80+,total,2311922
2010,all,all,foreign,5353781
2010,all,all,spanish,41208701
2010,all,all,total,46562483
2010,female,0-4,foreign,134456
2010,female,0-4,spanish,1070347
2010,female,0-4,total,1204803
2010,female,10-14,foreign,121420
2010,female,10-14,spanish,922784
2010,female,10-14,total,1044204
2010,female,15-19,foreign,129039
2010,female,15-19,spanish,959305
2010,female,15-19,total,1088344
2010,female,20-24,foreign,229656
2010,female,20-24,spanish,1052030
2010,female,20-24,total,1281686
2010,female,25-29,foreign,354984
2010,female,25-29,spanish,1269489
2010,female,25-29,total,1624473
2010,female,30-34,foreign,370406
2010,female,30-34,spanish,1592074
2010,female,30-34,total,1962480
2010,female,35-39,foreign,290618
2010,female,35-39,spanish,1655516
2010,female,35-39,total,1946134
2010,female,40-44,foreign,226711
2010,female,40-44,spanish,1628669
2010,female,40-44,total,1855380
2010,female,45-49,foreign,166707
2010,female,45-49,spanish,1576519
2010,female,45-49,total,1743226
2010,female,5-9,foreign,105751
2010,female,5-9,spanish,1025272
2010,female,5-9,total,1131023
2010,female,50-54,foreign,121761
2010,female,50-54,spanish,1435940
2010,female,50-54,total,1557701
2010,female,55-59,foreign,86965
2010,female,55-59,spanish,1238444
2010,female,55-59,total,1325408
2010,female,60-64,foreign,71060
2010,female,60-64,spanish,1189301
2010,female,60-64,total,1260361
2010,female,65-69,foreign,53704
2010,female,65-69,spanish,1041816
2010,female,65-69,total,1095520
2010,female,70-74,foreign,35897
2010,female,70-74,spanish,919904
2010,female,70-74,total,955801
2010,female,75-79,foreign,19610
2010,female,75-79,spanish,970835
2010,female,75-79,total,990445
2010,female,80+,foreign,20344
2010,female,80+,spanish,1466570
2010,female,80+,total,1486913
2010,female,all,foreign,2539088
2010,female,all,spanish,21014814
2010,female,all,total,23553902
2010,male,0-4,foreign,145570
2010,male,0-4,spanish,1138245
2010,male,0-4,total,1283815
2010,male,10-14,foreign,129690
2010,male,10-14,spanish,974587
2010,male,10-14,total,1104277
2010,male,15-19,foreign,143629
2010,male,15-19,spanish,1013908
2010,male,15-19,total,1157538
2010,male,20-24,foreign,219431
2010,male,20-24,spanish,1107748
2010,male,20-24,total,1327179
2010,male,25-29,foreign,360398
2010,male,25-29,spanish,1328446
2010,male,25-29,total,1688844
2010,male,30-34,foreign,440239
2010,male,30-34,spanish,1652166
2010,male,30-34,total,2092405
2010,male,35-39,foreign,374501
2010,male,35-39,spanish,1704150
2010,male,35-39,total,2078651
2010,male,40-44,foreign,284588
2010,male,40-44,spanish,1650184
2010,male,40-44,total,1934772
2010,male,45-49,foreign,193345
2010,male,45-49,spanish,1574169
2010,male,45-49,total,1767514
2010,male,5-9,foreign,113067
2010,male,5-9,spanish,1083072
2010,male,5-9,total,1196139
2010,male,50-54,foreign,130934
2010,male,50-54,spanish,1413584
2010,male,50-54,total,1544518
2010,male,55-59,foreign,83767
2010,male,55-59,spanish,1202888
2010,male,55-59,total,1286656
2010,male,60-64,foreign,63943
2010,male,60-64,spanish,1118221
2010,male,60-64,total,1182164
2010,male,65-69,foreign,52989
2010,male,65-69,spanish,940277
2010,male,65-69,total,993266
2010,male,70-74,foreign,39523
2010,male,70-74,spanish,757623
2010,male,70-74,total,797146
2010,male,75-79,foreign,21333
2010,male,75-79,spanish,727355
2010,male,75-79,total,748688
2010,male,80+,foreign,17744
2010,male,80+,spanish,807264
2010,male,80+,total,825009
2010,male,all,foreign,2814693
2010,male,all,spanish,20193887
2010,male,all,total,23008580
2011,all,0-4,foreign,283343
2011,all,0-4,spanish,2199557
2011,all,0-4,total,2482901
2011,all,10-14,foreign,243049
2011,all,10-14,spanish,1941699
2011,all,10-14,total,2184749
2011,all,15-19,foreign,265814
2011,all,15-19,spanish,1947239
2011,all,15-19,total,2213053
2011,all,20-24,foreign,408665
2011,all,20-24,spanish,2125329
2011,all,20-24,total,2533993
2011,all,25-29,foreign,655800
2011,all,25-29,spanish,2489102
2011,all,25-29,total,3144903
2011,all,30-34,foreign,787186
2011,all,30-34,spanish,3153452
2011,all,30-34,total,3940637
2011,all,35-39,foreign,668233
2011,all,35-39,spanish,3404040
2011,all,35-39,total,4072274
2011,all,40-44,foreign,523057
2011,all,40-44,spanish,3305384
2011,all,40-44,total,3828441
2011,all,45-49,foreign,367384
2011,all,45-49,spanish,3209679
2011,all,45-49,total,3577063
2011,all,5-9,foreign,214308
2011,all,5-9,spanish,2158042
2011,all,5-9,total,2372350
2011,all,50-54,foreign,261310
2011,all,50-54,spanish,2935475
2011,all,50-54,total,3196785
2011,all,55-59,foreign,177972
2011,all,55-59,spanish,2505521
2011,all,55-59,total,2683494
2011,all,60-64,foreign,138710
2011,all,60-64,spanish,2314703
2011,all,60-64,total,2453413
2011,all,65-69,foreign,110268
2011,all,65-69,spanish,2037448
2011,all,65-69,total,2147716
2011,all,70-74,foreign,80013
2011,all,70-74,spanish,1658516
2011,all,70-74,total,1738529
2011,all,75-79,foreign,44166
2011,all,75-79,spanish,1706701
2011,all,75-79,total,1750867
2011,all,80+,foreign,40179
2011,all,80+,spanish,2374909
2011,all,80+,total,2415088
2011,all,all,foreign,5269458
2011,all,all,spanish,41466799
2011,all,all,total,46736257
2011,female,0-4,foreign,135761
2011,female,0-4,spanish,1065343
2011,female,0-4,total,1201103
2011,female,10-14,foreign,117279
2011,female,10-14,spanish,943766
2011,female,10-14,total,1061044
2011,female,15-19,foreign,126037
2011,female,15-19,spanish,946999
2011,female,15-19,total,1073037
2011,female,20-24,foreign,210883
2011,female,20-24,spanish,1034802
2011,female,20-24,total,1245684
2011,female,25-29,foreign,335177
2011,female,25-29,spanish,1216487
2011,female,25-29,total,1551663
2011,female,30-34,foreign,368939
2011,female,30-34,spanish,1547870
2011,female,30-34,total,1916809
2011,female,35-39,foreign,295199
2011,female,35-39,spanish,1676884
2011,female,35-39,total,1972083
2011,female,40-44,foreign,232537
2011,female,40-44,spanish,1639526
2011,female,40-44,total,1872063
2011,female,45-49,foreign,169760
2011,female,45-49,spanish,1604526
2011,female,45-49,total,1774286
2011,female,5-9,foreign,103215
2011,female,5-9,spanish,1049390
2011,female,5-9,total,1152604
2011,female,50-54,foreign,125853
2011,female,50-54,spanish,1478733
2011,female,50-54,total,1604585
2011,female,55-59,foreign,90013
2011,female,55-59,spanish,1271168
2011,female,55-59,total,1361180
2011,female,60-64,foreign,72813
2011,female,60-64,spanish,1191094
2011,female,60-64,total,1263907
2011,female,65-69,foreign,55819
2011,female,65-69,spanish,1070562
2011,female,65-69,total,1126382
2011,female,70-74,foreign,38321
2011,female,70-74,spanish,904974
2011,female,70-74,total,943295
2011,female,75-79,foreign,20975
2011,female,75-79,spanish,974125
2011,female,75-79,total,995099
2011,female,80+,foreign,21225
2011,female,80+,spanish,1526933
2011,female,80+,total,1548158
2011,female,all,foreign,2519804
2011,female,all,spanish,21143179
2011,female,all,total,23662983
2011,male,0-4,foreign,147583
2011,male,0-4,spanish,1134215
2011,male,0-4,total,1281798
2011,male,10-14,foreign,125770
2011,male,10-14,spanish,997934
2011,male,10-14,total,1123704
2011,male,15-19,foreign,139777
2011,male,15-19,spanish,1000240
2011,male,15-19,total,1140017
2011,male,20-24,foreign,197782
2011,male,20-24,spanish,1090527
2011,male,20-24,total,1288309
2011,male,25-29,foreign,320624
2011,male,25-29,spanish,1272616
2011,male,25-29,total,1593239
2011,male,30-34,foreign,418246
2011,male,30-34,spanish,1605582
2011,male,30-34,total,2023828
2011,male,35-39,foreign,373035
2011,male,35-39,spanish,1727156
2011,male,35-39,total,2100191
2011,male,40-44,foreign,290520
2011,male,40-44,spanish,1665858
2011,male,40-44,total,1956378
2011,male,45-49,foreign,197624
2011,male,45-49,spanish,1605153
2011,male,45-49,total,1802777
2011,male,5-9,foreign,111093
2011,male,5-9,spanish,1108653
2011,male,5-9,total,1219746
2011,male,50-54,foreign,135458
2011,male,50-54,spanish,1456742
2011,male,50-54,total,1592200
2011,male,55-59,foreign,87960
2011,male,55-59,spanish,1234354
2011,male,55-59,total,1322313
2011,male,60-64,foreign,65897
2011,male,60-64,spanish,1123610
2011,male,60-64,total,1189507
2011,male,65-69,foreign,54448
2011,male,65-69,spanish,966886
2011,male,65-69,total,1021335
2011,male,70-74,foreign,41692
2011,male,70-74,spanish,753543
2011,male,70-74,total,795234
2011,male,75-79,foreign,23192
2011,male,75-79,spanish,732576
2011,male,75-79,total,755768
2011,male,80+,foreign,18954
2011,male,80+,spanish,847976
2011,male,80+,total,866929
2011,male,all,foreign,2749654
2011,male,all,spanish,20323620
2011,male,all,total,23073274
2012,all,0-4,foreign,284019
2012,all,0-4,spanish,2161540
2012,all,0-4,total,2445559
2012,all,10-14,foreign,230407
2012,all,10-14,spanish,1982520
2012,all,10-14,total,2212927
2012,all,15-19,foreign,257347
2012,all,15-19,spanish,1924826
2012,all,15-19,total,2182173
2012,all,20-24,foreign,372700
2012,all,20-24,spanish,2100856
2012,all,20-24,total,2473556
2012,all,25-29,foreign,595505
2012,all,25-29,spanish,2389435
2012,all,25-29,total,2984940
2012,all,30-34,foreign,744950
2012,all,30-34,spanish,3036095
2012,all,30-34,total,3781045
2012,all,35-39,foreign,662317
2012,all,35-39,spanish,3424272
2012,all,35-39,total,4086589
2012,all,40-44,foreign,523107
2012,all,40-44,spanish,3327761
2012,all,40-44,total,3850868
2012,all,45-49,foreign,372509
2012,all,45-49,spanish,3266703
2012,all,45-49,total,3639212
2012,all,5-9,foreign,213876
2012,all,5-9,spanish,2203432
2012,all,5-9,total,2417308
2012,all,50-54,foreign,266339
2012,all,50-54,spanish,2994351
2012,all,50-54,total,3260690
2012,all,55-59,foreign,183963
2012,all,55-59,spanish,2572919
2012,all,55-59,total,2756882
2012,all,60-64,foreign,139897
2012,all,60-64,spanish,2343266
2012,all,60-64,total,2483163
2012,all,65-69,foreign,115116
2012,all,65-69,spanish,2113517
2012,all,65-69,total,2228633
2012,all,70-74,foreign,84228
2012,all,70-74,spanish,1625478
2012,all,70-74,total,1709706
2012,all,75-79,foreign,47891
2012,all,75-79,spanish,1691737
2012,all,75-79,total,1739628
2012,all,80+,foreign,42510
2012,all,80+,spanish,2453914
2012,all,80+,total,2496424
2012,all,all,foreign,5136681
2012,all,all,spanish,41612622
2012,all,all,total,46749303
2012,female,0-4,foreign,136174
2012,female,0-4,spanish,1047281
2012,female,0-4,total,1183455
2012,female,10-14,foreign,111213
2012,female,10-14,spanish,963217
2012,female,10-14,total,1074430
2012,female,15-19,foreign,122474
2012,female,15-19,spanish,936595
2012,female,15-19,total,1059069
2012,female,20-24,foreign,193538
2012,female,20-24,spanish,1022709
2012,female,20-24,total,1216247
2012,female,25-29,foreign,313478
2012,female,25-29,spanish,1167990
2012,female,25-29,total,1481468
2012,female,30-34,foreign,359504
2012,female,30-34,spanish,1491280
2012,female,30-34,total,1850784
2012,female,35-39,foreign,297389
2012,female,35-39,spanish,1687165
2012,female,35-39,total,1984554
2012,female,40-44,foreign,234102
2012,female,40-44,spanish,1649233
2012,female,40-44,total,1883335
2012,female,45-49,foreign,172283
2012,female,45-49,spanish,1632169
2012,female,45-49,total,1804452
2012,female,5-9,foreign,102793
2012,female,5-9,spanish,1070575
2012,female,5-9,total,1173368
2012,female,50-54,foreign,128379
2012,female,50-54,spanish,1508282
2012,female,50-54,total,1636661
2012,female,55-59,foreign,92612
2012,female,55-59,spanish,1306625
2012,female,55-59,total,1399237
2012,female,60-64,foreign,73212
2012,female,60-64,spanish,1204479
2012,female,60-64,total,1277691
2012,female,65-69,foreign,58725
2012,female,65-69,spanish,1110799
2012,female,65-69,total,1169524
2012,female,70-74,foreign,40594
2012,female,70-74,spanish,883064
2012,female,70-74,total,923658
2012,female,75-79,foreign,22787
2012,female,75-79,spanish,965275
2012,female,75-79,total,988062
2012,female,80+,foreign,22116
2012,female,80+,spanish,1572262
2012,female,80+,total,1594378
2012,female,all,foreign,2481373
2012,female,all,spanish,21219000
2012,female,all,total,23700373
2012,male,0-4,foreign,147845
2012,male,0-4,spanish,1114259
2012,male,0-4,total,1262104
2012,male,10-14,foreign,119194
2012,male,10-14,spanish,1019303
2012,male,10-14,total,1138497
2012,male,15-19,foreign,134873
2012,male,15-19,spanish,988231
2012,male,15-19,total,1123104
2012,male,20-24,foreign,179162
2012,male,20-24,spanish,1078147
2012,male,20-24,total,1257309
2012,male,25-29,foreign,282027
2012,male,25-29,spanish,1221445
2012,male,25-29,total,1503472
2012,male,30-34,foreign,385446
2012,male,30-34,spanish,1544815
2012,male,30-34,total,1930261
2012,male,35-39,foreign,364928
2012,male,35-39,spanish,1737107
2012,male,35-39,total,2102035
2012,male,40-44,foreign,289005
2012,male,40-44,spanish,1678528
2012,male,40-44,total,1967533
2012,male,45-49,foreign,200226
2012,male,45-49,spanish,1634534
2012,male,45-49,total,1834760
2012,male,5-9,foreign,111083
2012,male,5-9,spanish,1132857
2012,male,5-9,total,1243940
2012,male,50-54,foreign,137960
2012,male,50-54,spanish,1486069
2012,male,50-54,total,1624029
2012,male,55-59,foreign,91351
2012,male,55-59,spanish,1266294
2012,male,55-59,total,1357645
2012,male,60-64,foreign,66685
2012,male,60-64,spanish,1138787
2012,male,60-64,total,1205472
2012,male,65-69,foreign,56391
2012,male,65-69,spanish,1002718
2012,male,65-69,total,1059109
