year,sex,age_group,nationality,population_july1
2003,all,65-69,foreign,51177
2003,all,65-69,spanish,1953687
2003,all,65-69,total,2004864
2003,all,70-74,foreign,34004
2003,all,70-74,spanish,1882270
2003,all,70-74,total,1916274
2003,all,75-79,foreign,21608
2003,all,75-79,spanish,1470941
2003,all,75-79,total,1492548
2003,all,80+,foreign,20577
2003,all,80+,spanish,1684983
2003,all,80+,total,1705560
2003,all,all,foreign,2647431
2003,all,all,spanish,39548800
2003,all,all,total,42196231
2003,female,0-4,foreign,57117
2003,female,0-4,spanish,946572
2003,female,0-4,total,1003688
2003,female,10-14,foreign,62730
2003,female,10-14,spanish,966433
2003,female,10-14,total,1029163
2003,female,15-19,foreign,71380
2003,female,15-19,spanish,1089139
2003,female,15-19,total,1160519
2003,female,20-24,foreign,145398
2003,female,20-24,spanish,1369388
2003,female,20-24,total,1514786
2003,female,25-29,foreign,189097
2003,female,25-29,spanish,1600767
2003,female,25-29,total,1789865
2003,female,30-34,foreign,167578
2003,female,30-34,spanish,1571490
2003,female,30-34,total,1739068
2003,female,35-39,foreign,133755
2003,female,35-39,spanish,1580839
2003,female,35-39,total,1714594
2003,female,40-44,foreign,99904
2003,female,40-44,spanish,1490379
2003,female,40-44,total,1590283
2003,female,45-49,foreign,70804
2003,female,45-49,spanish,1329918
2003,female,45-49,total,1400722
2003,female,5-9,foreign,62637
2003,female,5-9,spanish,876067
2003,female,5-9,total,938704
2003,female,50-54,foreign,51190
2003,female,50-54,spanish,1213995
2003,female,50-54,total,1265185
2003,female,55-59,foreign,40310
2003,female,55-59,spanish,1167596
2003,female,55-59,total,1207906
2003,female,60-64,foreign,33722
2003,female,60-64,spanish,951916
2003,female,60-64,total,985638
2003,female,65-69,foreign,24771
2003,female,65-69,spanish,1044915
2003,female,65-69,total,1069686
2003,female,70-74,foreign,16462
2003,female,70-74,spanish,1039874
2003,female,70-74,total,1056336
2003,female,75-79,foreign,10871
2003,female,75-79,spanish,857917
2003,female,75-79,total,868788
2003,female,80+,foreign,11486
2003,female,80+,spanish,1111815
2003,female,80+,total,1123300
2003,female,all,foreign,1249212
2003,female,all,spanish,20209019
2003,female,all,total,21458232
2003,male,0-4,foreign,59332
2003,male,0-4,spanish,1001286
2003,male,0-4,total,1060618
2003,male,10-14,foreign,66816
2003,male,10-14,spanish,1020804
2003,male,10-14,total,1087619
2003,male,15-19,foreign,76179
2003,male,15-19,spanish,1147367
2003,male,15-19,total,1223546
2003,male,20-24,foreign,154205
2003,male,20-24,spanish,1435567
2003,male,20-24,total,1589772
2003,male,25-29,foreign,225010
2003,male,25-29,spanish,1668388
2003,male,25-29,total,1893398
2003,male,30-34,foreign,213080
2003,male,30-34,spanish,1615937
2003,male,30-34,total,1829017
2003,male,35-39,foreign,165559
2003,male,35-39,spanish,1593680
2003,male,35-39,total,1759239
2003,male,40-44,foreign,116234
2003,male,40-44,spanish,1484145
2003,male,40-44,total,1600380
2003,male,45-49,foreign,76549
2003,male,45-49,spanish,1313893
2003,male,45-49,total,1390443
2003,male,5-9,foreign,65867
2003,male,5-9,spanish,924671
2003,male,5-9,total,990538
2003,male,50-54,foreign,48113
2003,male,50-54,spanish,1194037
2003,male,50-54,total,1242150
2003,male,55-59,foreign,35498
2003,male,55-59,spanish,1118990
2003,male,55-59,total,1154488
2003,male,60-64,foreign,32003
2003,male,60-64,spanish,883654
2003,male,60-64,total,915657
2003,male,65-69,foreign,26406
2003,male,65-69,spanish,908772
2003,male,65-69,total,935178
2003,male,70-74,foreign,17542
2003,male,70-74,spanish,842397
2003,male,70-74,total,859939
2003,male,75-79,foreign,10737
2003,male,75-79,spanish,613024
2003,male,75-79,total,623761
2003,male,80+,foreign,9091
2003,male,80+,spanish,573169
2003,male,80+,total,582259
2003,male,all,foreign,1398219
2003,male,all,spanish,19339780
2003,male,all,total,20737999
2004,all,0-4,foreign,134697
2004,all,0-4,spanish,2004812
2004,all,0-4,total,2139508
2004,all,10-14,foreign,149672
2004,all,10-14,spanish,1956135
2004,all,10-14,total,2105807
2004,all,15-19,foreign,173195
2004,all,15-19,spanish,2170923
2004,all,15-19,total,2344118
2004,all,20-24,foreign,333596
2004,all,20-24,spanish,2677940
2004,all,20-24,total,3011536
2004,all,25-29,foreign,489821
2004,all,25-29,spanish,3239402
2004,all,25-29,total,3729223
2004,all,30-34,foreign,450972
2004,all,30-34,spanish,3223878
2004,all,30-34,total,3674850
2004,all,35-39,foreign,356797
2004,all,35-39,spanish,3185790
2004,all,35-39,total,3542587
2004,all,40-44,foreign,260073
2004,all,40-44,spanish,3034317
2004,all,40-44,total,3294390
2004,all,45-49,foreign,178968
2004,all,45-49,spanish,2732964
2004,all,45-49,total,2911932
2004,all,5-9,foreign,147466
2004,all,5-9,spanish,1810410
2004,all,5-9,total,1957876
2004,all,50-54,foreign,120581
2004,all,50-54,spanish,2411575
2004,all,50-54,total,2532156
2004,all,55-59,foreign,91057
2004,all,55-59,spanish,2333462
2004,all,55-59,total,2424518
2004,all,60-64,foreign,77158
2004,all,60-64,spanish,1959252
2004,all,60-64,total,2036411
2004,all,65-69,foreign,61165
2004,all,65-69,spanish,1841067
2004,all,65-69,total,1902232
2004,all,70-74,foreign,39082
2004,all,70-74,spanish,1903311
2004,all,70-74,total,1942393
2004,all,75-79,foreign,24093
2004,all,75-79,spanish,1507127
2004,all,75-79,total,1531221
2004,all,80+,foreign,23009
2004,all,80+,spanish,1755407
2004,all,80+,total,1778415
2004,all,all,foreign,3111401
2004,all,all,spanish,39747771
2004,all,all,total,42859172
2004,female,0-4,foreign,65804
2004,female,0-4,spanish,974218
2004,female,0-4,total,1040022
2004,female,10-14,foreign,72126
2004,female,10-14,spanish,951231
2004,female,10-14,total,1023357
2004,female,15-19,foreign,83671
2004,female,15-19,spanish,1056769
2004,female,15-19,total,1140440
2004,female,20-24,foreign,163601
2004,female,20-24,spanish,1306670
2004,female,20-24,total,1470271
2004,female,25-29,foreign,224557
2004,female,25-29,spanish,1584911
2004,female,25-29,total,1809468
2004,female,30-34,foreign,197540
2004,female,30-34,spanish,1586631
2004,female,30-34,total,1784172
2004,female,35-39,foreign,157299
2004,female,35-39,spanish,1583921
2004,female,35-39,total,1741220
2004,female,40-44,foreign,119015
2004,female,40-44,spanish,1518177
2004,female,40-44,total,1637192
2004,female,45-49,foreign,84882
2004,female,45-49,spanish,1374257
2004,female,45-49,total,1459139
2004,female,5-9,foreign,71918
2004,female,5-9,spanish,880800
2004,female,5-9,total,952718
2004,female,50-54,foreign,61523
2004,female,50-54,spanish,1214866
2004,female,50-54,total,1276389
2004,female,55-59,foreign,48364
2004,female,55-59,spanish,1190877
2004,female,55-59,total,1239240
2004,female,60-64,foreign,39791
2004,female,60-64,spanish,1013702
2004,female,60-64,total,1053493
2004,female,65-69,foreign,29625
2004,female,65-69,spanish,985042
2004,female,65-69,total,1014667
2004,female,70-74,foreign,18909
2004,female,70-74,spanish,1049383
2004,female,70-74,total,1068292
2004,female,75-79,foreign,12039
2004,female,75-79,spanish,877445
2004,female,75-79,total,889483
2004,female,80+,foreign,12782
2004,female,80+,spanish,1153775
2004,female,80+,total,1166558
2004,female,all,foreign,1463447
2004,female,all,spanish,20302674
2004,female,all,total,21766121
2004,male,0-4,foreign,68892
2004,male,0-4,spanish,1030594
2004,male,0-4,total,1099486
2004,male,10-14,foreign,77546
2004,male,10-14,spanish,1004905
2004,male,10-14,total,1082450
2004,male,15-19,foreign,89524
