sex,nationality,age,year,count
all,total,41-50,2020,500
female,total,41-50,2020,11
male,total,41-50,2020,489
all,total,51-60,2020,281
female,total,51-60,2020,2
male,total,51-60,2020,279
all,total,61-70,2020,171
female,total,61-70,2020,1
male,total,61-70,2020,170
all,total,71+,2020,93
female,total,71+,2020,0
male,total,71+,2020,93
all,total,total,2020,2374
female,total,total,2020,56
male,total,total,2020,2318
all,ue27_excl_espana,18-20,2020,9
female,ue27_excl_espana,18-20,2020,0
male,ue27_excl_espana,18-20,2020,9
all,ue27_excl_espana,21-25,2020,23
female,ue27_excl_espana,21-25,2020,2
male,ue27_excl_espana,21-25,2020,21
all,ue27_excl_espana,26-30,2020,24
female,ue27_excl_espana,26-30,2020,0
male,ue27_excl_espana,26-30,2020,24
all,ue27_excl_espana,31-35,2020,15
female,ue27_excl_espana,31-35,2020,1
male,ue27_excl_espana,31-35,2020,14
all,ue27_excl_espana,36-40,2020,16
female,ue27_excl_espana,36-40,2020,0
male,ue27_excl_espana,36-40,2020,16
all,ue27_excl_espana,41-50,2020,28
female,ue27_excl_espana,41-50,2020,0
male,ue27_excl_espana,41-50,2020,28
all,ue27_excl_espana,51-60,2020,16
female,ue27_excl_espana,51-60,2020,1
male,ue27_excl_espana,51-60,2020,15
all,ue27_excl_espana,61-70,2020,9
female,ue27_excl_espana,61-70,2020,0
male,ue27_excl_espana,61-70,2020,9
all,ue27_excl_espana,71+,2020,0
female,ue27_excl_espana,71+,2020,0
male,ue27_excl_espana,71+,2020,0
all,ue27_excl_espana,total,2020,140
female,ue27_excl_espana,total,2020,4
male,ue27_excl_espana,total,2020,136
all,africa,18-20,2021,46
female,africa,18-20,2021,0
male,africa,18-20,2021,46
all,africa,21-25,2021,45
female,africa,21-25,2021,1
male,africa,21-25,2021,44
all,africa,26-30,2021,45
female,africa,26-30,2021,2
male,africa,26-30,2021,43
all,africa,31-35,2021,62
female,africa,31-35,2021,6
male,africa,31-35,2021,56
all,africa,36-40,2021,51
female,africa,36-40,2021,5
male,africa,36-40,2021,46
all,africa,41-50,2021,51
female,africa,41-50,2021,3
male,africa,41-50,2021,48
all,africa,51-60,2021,13
female,africa,51-60,2021,1
male,africa,51-60,2021,12
all,africa,61-70,2021,2
female,africa,61-70,2021,0
male,africa,61-70,2021,2
all,africa,71+,2021,0
female,africa,71+,2021,0
male,africa,71+,2021,0
all,africa,total,2021,315
female,africa,total,2021,18
male,africa,total,2021,297
all,america,18-20,2021,29
female,america,18-20,2021,2
male,america,18-20,2021,27
all,america,21-25,2021,40
female,america,21-25,2021,0
male,america,21-25,2021,40
all,america,26-30,2021,61
female,america,26-30,2021,2
male,america,26-30,2021,59
all,america,31-35,2021,52
female,america,31-35,2021,1
male,america,31-35,2021,51
all,america,36-40,2021,60
female,america,36-40,2021,1
male,america,36-40,2021,59
all,america,41-50,2021,71
female,america,41-50,2021,2
male,america,41-50,2021,69
all,america,51-60,2021,16
female,america,51-60,2021,0
male,america,51-60,2021,16
all,america,61-70,2021,8
female,america,61-70,2021,0
male,america,61-70,2021,8
all,america,71+,2021,0
female,america,71+,2021,0
male,america,71+,2021,0
all,america,total,2021,337
female,america,total,2021,8
male,america,total,2021,329
all,asia,18-20,2021,5
female,asia,18-20,2021,0
male,asia,18-20,2021,5
all,asia,21-25,2021,8
female,asia,21-25,2021,0
male,asia,21-25,2021,8
all,asia,26-30,2021,15
female,asia,26-30,2021,0
male,asia,26-30,2021,15
all,asia,31-35,2021,15
female,asia,31-35,2021,0
male,asia,31-35,2021,15
all,asia,36-40,2021,15
female,asia,36-40,2021,1
male,asia,36-40,2021,14
all,asia,41-50,2021,13
female,asia,41-50,2021,1
male,asia,41-50,2021,12
all,asia,51-60,2021,2
female,asia,51-60,2021,0
male,asia,51-60,2021,2
all,asia,61-70,2021,0
female,asia,61-70,2021,0
male,asia,61-70,2021,0
all,asia,71+,2021,0
female,asia,71+,2021,0
male,asia,71+,2021,0
all,asia,total,2021,73
female,asia,total,2021,2
male,asia,total,2021,71
all,espanola,18-20,2021,137
female,espanola,18-20,2021,3
male,espanola,18-20,2021,134
all,espanola,21-25,2021,233
female,espanola,21-25,2021,3
male,espanola,21-25,2021,230
all,espanola,26-30,2021,224
female,espanola,26-30,2021,7
male,espanola,26-30,2021,217
all,espanola,31-35,2021,233
female,espanola,31-35,2021,1
male,espanola,31-35,2021,232
all,espanola,36-40,2021,267
female,espanola,36-40,2021,6
male,espanola,36-40,2021,261
all,espanola,41-50,2021,472
female,espanola,41-50,2021,6
male,espanola,41-50,2021,466
all,espanola,51-60,2021,357
female,espanola,51-60,2021,6
male,espanola,51-60,2021,351
all,espanola,61-70,2021,207
female,espanola,61-70,2021,0
male,espanola,61-70,2021,207
all,espanola,71+,2021,112
female,espanola,71+,2021,0
male,espanola,71+,2021,112
all,espanola,total,2021,2242
female,espanola,total,2021,32
male,espanola,total,2021,2210
all,europa_no_ue27,18-20,2021,4
female,europa_no_ue27,18-20,2021,0
male,europa_no_ue27,18-20,2021,4
all,europa_no_ue27,21-25,2021,4
female,europa_no_ue27,21-25,2021,0
male,europa_no_ue27,21-25,2021,4
all,europa_no_ue27,26-30,2021,7
female,europa_no_ue27,26-30,2021,0
male,europa_no_ue27,26-30,2021,7
all,europa_no_ue27,31-35,2021,0
female,europa_no_ue27,31-35,2021,0
male,europa_no_ue27,31-35,2021,0
all,europa_no_ue27,36-40,2021,7
female,europa_no_ue27,36-40,2021,0
male,europa_no_ue27,36-40,2021,7
all,europa_no_ue27,41-50,2021,6
female,europa_no_ue27,41-50,2021,0
male,europa_no_ue27,41-50,2021,6
all,europa_no_ue27,51-60,2021,7
female,europa_no_ue27,51-60,2021,0
male,europa_no_ue27,51-60,2021,7
all,europa_no_ue27,61-70,2021,7
female,europa_no_ue27,61-70,2021,0
male,europa_no_ue27,61-70,2021,7
all,europa_no_ue27,71+,2021,1
female,europa_no_ue27,71+,2021,0
male,europa_no_ue27,71+,2021,1
all,europa_no_ue27,total,2021,43
female,europa_no_ue27,total,2021,0
male,europa_no_ue27,total,2021,43
all,oceania,18-20,2021,0
female,oceania,18-20,2021,0
male,oceania,18-20,2021,0
all,oceania,21-25,2021,1
female,oceania,21-25,2021,0
male,oceania,21-25,2021,1
all,oceania,26-30,2021,0
female,oceania,26-30,2021,0
male,oceania,26-30,2021,0
all,oceania,31-35,2021,0
female,oceania,31-35,2021,0
male,oceania,31-35,2021,0
all,oceania,36-40,2021,0
female,oceania,36-40,2021,0
male,oceania,36-40,2021,0
all,oceania,41-50,2021,0
female,oceania,41-50,2021,0
male,oceania,41-50,2021,0
all,oceania,51-60,2021,0
female,oceania,51-60,2021,0
male,oceania,51-60,2021,0
all,oceania,61-70,2021,0
female,oceania,61-70,2021,0
male,oceania,61-70,2021,0
all,oceania,71+,2021,0
female,oceania,71+,2021,0
male,oceania,71+,2021,0
all,oceania,total,2021,1
female,oceania,total,2021,0
male,oceania,total,2021,1
all,total,18-20,2021,240
female,total,18-20,2021,7
male,total,18-20,2021,233
all,total,21-25,2021,354
female,total,21-25,2021,9
male,total,21-25,2021,345
all,total,26-30,2021,381
female,total,26-30,2021,11
male,total,26-30,2021,370
all,total,31-35,2021,382
female,total,31-35,2021,9
male,total,31-35,2021,373
all,total,36-40,2021,421
female,total,36-40,2021,13
male,total,36-40,2021,408
all,total,41-50,2021,650
female,total,41-50,2021,12
male,total,41-50,2021,638
all,total,51-60,2021,416
female,total,51-60,2021,7
male,total,51-60,2021,409
all,total,61-70,2021,237
female,total,61-70,2021,0
male,total,61-70,2021,237
all,total,71+,2021,115
female,total,71+,2021,0
male,total,71+,2021,115
all,total,total,2021,3196
female,total,total,2021,68
male,total,total,2021,3128
all,ue27_excl_espana,18-20,2021,19
female,ue27_excl_espana,18-20,2021,2
male,ue27_excl_espana,18-20,2021,17
all,ue27_excl_espana,21-25,2021,23
female,ue27_excl_espana,21-25,2021,5
male,ue27_excl_espana,21-25,2021,18
all,ue27_excl_espana,26-30,2021,29
female,ue27_excl_espana,26-30,2021,0
male,ue27_excl_espana,26-30,2021,29
all,ue27_excl_espana,31-35,2021,20
female,ue27_excl_espana,31-35,2021,1
male,ue27_excl_espana,31-35,2021,19
all,ue27_excl_espana,36-40,2021,21
female,ue27_excl_espana,36-40,2021,0
male,ue27_excl_espana,36-40,2021,21
all,ue27_excl_espana,41-50,2021,37
female,ue27_excl_espana,41-50,2021,0
male,ue27_excl_espana,41-50,2021,37
all,ue27_excl_espana,51-60,2021,21
female,ue27_excl_espana,51-60,2021,0
male,ue27_excl_espana,51-60,2021,21
all,ue27_excl_espana,61-70,2021,13
female,ue27_excl_espana,61-70,2021,0
male,ue27_excl_espana,61-70,2021,13
all,ue27_excl_espana,71+,2021,2
female,ue27_excl_espana,71+,2021,0
male,ue27_excl_espana,71+,2021,2
all,ue27_excl_espana,total,2021,185
female,ue27_excl_espana,total,2021,8
male,ue27_excl_espana,total,2021,177
all,africa,18-20,2022,32
female,africa,18-20,2022,1
male,africa,18-20,2022,31
all,africa,21-25,2022,56
female,africa,21-25,2022,2
male,africa,21-25,2022,54
all,africa,26-30,2022,54
female,africa,26-30,2022,4
male,africa,26-30,2022,50
all,africa,31-35,2022,42
female,africa,31-35,2022,6
male,africa,31-35,2022,36
all,africa,36-40,2022,51
female,africa,36-40,2022,2
male,africa,36-40,2022,49
all,africa,41-50,2022,51
female,africa,41-50,2022,2
male,africa,41-50,2022,49
all,africa,51-60,2022,8
female,africa,51-60,2022,0
male,africa,51-60,2022,8
all,africa,61-70,2022,1
female,africa,61-70,2022,0
male,africa,61-70,2022,1
all,africa,71+,2022,1
female,africa,71+,2022,0
male,africa,71+,2022,1
all,africa,total,2022,296
female,africa,total,2022,17
male,africa,total,2022,279
all,america,18-20,2022,26
female,america,18-20,2022,0
male,america,18-20,2022,26
all,america,21-25,2022,50
female,america,21-25,2022,1
male,america,21-25,2022,49
all,america,26-30,2022,73
female,america,26-30,2022,1
male,america,26-30,2022,72
all,america,31-35,2022,68
female,america,31-35,2022,0
male,america,31-35,2022,68
all,america,36-40,2022,58
female,america,36-40,2022,1
male,america,36-40,2022,57
all,america,41-50,2022,78
female,america,41-50,2022,7
male,america,41-50,2022,71
all,america,51-60,2022,16
female,america,51-60,2022,0
male,america,51-60,2022,16
all,america,61-70,2022,5
female,america,61-70,2022,0
male,america,61-70,2022,5
all,america,71+,2022,0
female,america,71+,2022,0
male,america,71+,2022,0
all,america,total,2022,374
female,america,total,2022,10
male,america,total,2022,364
all,asia,18-20,2022,3
female,asia,18-20,2022,0
male,asia,18-20,2022,3
all,asia,21-25,2022,12
female,asia,21-25,2022,0
male,asia,21-25,2022,12
all,asia,26-30,2022,11
female,asia,26-30,2022,0
male,asia,26-30,2022,11
all,asia,31-35,2022,8
female,asia,31-35,2022,1
male,asia,31-35,2022,7
all,asia,36-40,2022,18
female,asia,36-40,2022,2
male,asia,36-40,2022,16
all,asia,41-50,2022,17
female,asia,41-50,2022,0
male,asia,41-50,2022,17
all,asia,51-60,2022,6
female,asia,51-60,2022,0
male,asia,51-60,2022,6
all,asia,61-70,2022,2
female,asia,61-70,2022,0
male,asia,61-70,2022,2
all,asia,71+,2022,0
female,asia,71+,2022,0
male,asia,71+,2022,0
all,asia,total,2022,77
female,asia,total,2022,3
male,asia,total,2022,74
all,espanola,18-20,2022,185
female,espanola,18-20,2022,6
male,espanola,18-20,2022,179
all,espanola,21-25,2022,235
female,espanola,21-25,2022,5
male,espanola,21-25,2022,230
all,espanola,26-30,2022,235
female,espanola,26-30,2022,7
male,espanola,26-30,2022,228
all,espanola,31-35,2022,211
female,espanola,31-35,2022,7
male,espanola,31-35,2022,204
all,espanola,36-40,2022,269
female,espanola,36-40,2022,13
male,espanola,36-40,2022,256
all,espanola,41-50,2022,478
female,espanola,41-50,2022,17
male,espanola,41-50,2022,461
all,espanola,51-60,2022,308
female,espanola,51-60,2022,5
male,espanola,51-60,2022,303
all,espanola,61-70,2022,190
female,espanola,61-70,2022,0
male,espanola,61-70,2022,190
all,espanola,71+,2022,114
female,espanola,71+,2022,0
male,espanola,71+,2022,114
all,espanola,total,2022,2225
female,espanola,total,2022,60
male,espanola,total,2022,2165
all,europa_no_ue27,18-20,2022,3
female,europa_no_ue27,18-20,2022,0
male,europa_no_ue27,18-20,2022,3
all,europa_no_ue27,21-25,2022,7
female,europa_no_ue27,21-25,2022,0
male,europa_no_ue27,21-25,2022,7
all,europa_no_ue27,26-30,2022,8
female,europa_no_ue27,26-30,2022,0
male,europa_no_ue27,26-30,2022,8
all,europa_no_ue27,31-35,2022,15
female,europa_no_ue27,31-35,2022,0
male,europa_no_ue27,31-35,2022,15
all,europa_no_ue27,36-40,2022,5
female,europa_no_ue27,36-40,2022,1
male,europa_no_ue27,36-40,2022,4
all,europa_no_ue27,41-50,2022,8
female,europa_no_ue27,41-50,2022,1
male,europa_no_ue27,41-50,2022,7
all,europa_no_ue27,51-60,2022,6
female,europa_no_ue27,51-60,2022,0
male,europa_no_ue27,51-60,2022,6
all,europa_no_ue27,61-70,2022,3
female,europa_no_ue27,61-70,2022,0
male,europa_no_ue27,61-70,2022,3
all,europa_no_ue27,71+,2022,2
female,europa_no_ue27,71+,2022,0
male,europa_no_ue27,71+,2022,2
all,europa_no_ue27,total,2022,57
female,europa_no_ue27,total,2022,2
male,europa_no_ue27,total,2022,55
all,oceania,18-20,2022,0
female,oceania,18-20,2022,0
male,oceania,18-20,2022,0
all,oceania,21-25,2022,0
female,oceania,21-25,2022,0
male,oceania,21-25,2022,0
all,oceania,26-30,2022,0
female,oceania,26-30,2022,0
male,oceania,26-30,2022,0
all,oceania,31-35,2022,0
female,oceania,31-35,2022,0
male,oceania,31-35,2022,0
all,oceania,36-40,2022,0
female,oceania,36-40,2022,0
male,oceania,36-40,2022,0
all,oceania,41-50,2022,0
female,oceania,41-50,2022,0
male,oceania,41-50,2022,0
all,oceania,51-60,2022,0
female,oceania,51-60,2022,0
male,oceania,51-60,2022,0
all,oceania,61-70,2022,0
female,oceania,61-70,2022,0
male,oceania,61-70,2022,0
all,oceania,71+,2022,0
female,oceania,71+,2022,0
male,oceania,71+,2022,0
all,oceania,total,2022,0
female,oceania,total,2022,0
male,oceania,total,2022,0
all,total,18-20,2022,266
female,total,18-20,2022,7
male,total,18-20,2022,259
all,total,21-25,2022,385
female,total,21-25,2022,9
male,total,21-25,2022,376
all,total,26-30,2022,398
female,total,26-30,2022,12
male,total,26-30,2022,386
all,total,31-35,2022,373
female,total,31-35,2022,15
male,total,31-35,2022,358
all,total,36-40,2022,428
female,total,36-40,2022,21
male,total,36-40,2022,407
all,total,41-50,2022,664
female,total,41-50,2022,28
male,total,41-50,2022,636
all,total,51-60,2022,368
female,total,51-60,2022,5
male,total,51-60,2022,363
all,total,61-70,2022,202
female,total,61-70,2022,0
male,total,61-70,2022,202
all,total,71+,2022,117
female,total,71+,2022,0
male,total,71+,2022,117
all,total,total,2022,3201
female,total,total,2022,97
male,total,total,2022,3104
all,ue27_excl_espana,18-20,2022,17
female,ue27_excl_espana,18-20,2022,0
male,ue27_excl_espana,18-20,2022,17
all,ue27_excl_espana,21-25,2022,25
female,ue27_excl_espana,21-25,2022,1
male,ue27_excl_espana,21-25,2022,24
all,ue27_excl_espana,26-30,2022,17
female,ue27_excl_espana,26-30,2022,0
male,ue27_excl_espana,26-30,2022,17
all,ue27_excl_espana,31-35,2022,29
female,ue27_excl_espana,31-35,2022,1
male,ue27_excl_espana,31-35,2022,28
all,ue27_excl_espana,36-40,2022,27
female,ue27_excl_espana,36-40,2022,2
male,ue27_excl_espana,36-40,2022,25
all,ue27_excl_espana,41-50,2022,32
female,ue27_excl_espana,41-50,2022,1
male,ue27_excl_espana,41-50,2022,31
all,ue27_excl_espana,51-60,2022,24
female,ue27_excl_espana,51-60,2022,0
male,ue27_excl_espana,51-60,2022,24
all,ue27_excl_espana,61-70,2022,1
female,ue27_excl_espana,61-70,2022,0
male,ue27_excl_espana,61-70,2022,1
all,ue27_excl_espana,71+,2022,0
female,ue27_excl_espana,71+,2022,0
male,ue27_excl_espana,71+,2022,0
all,ue27_excl_espana,total,2022,172
female,ue27_excl_espana,total,2022,5
male,ue27_excl_espana,total,2022,167
all,africa,18-20,2023,46
female,africa,18-20,2023,1
male,africa,18-20,2023,45
all,africa,21-25,2023,64
female,africa,21-25,2023,0
male,africa,21-25,2023,64
all,africa,26-30,2023,70
female,africa,26-30,2023,1
male,africa,26-30,2023,69
all,africa,31-35,2023,46
female,africa,31-35,2023,3
male,africa,31-35,2023,43
all,africa,36-40,2023,46
female,africa,36-40,2023,2
male,africa,36-40,2023,44
all,africa,41-50,2023,49
female,africa,41-50,2023,1
male,africa,41-50,2023,48
all,africa,51-60,2023,13
female,africa,51-60,2023,0
male,africa,51-60,2023,13
all,africa,61-70,2023,1
female,africa,61-70,2023,0
male,africa,61-70,2023,1
all,africa,71+,2023,1
female,africa,71+,2023,0
male,africa,71+,2023,1
all,africa,total,2023,336
female,africa,total,2023,8
male,africa,total,2023,328
all,america,18-20,2023,25
female,america,18-20,2023,1
male,america,18-20,2023,24
all,america,21-25,2023,53
female,america,21-25,2023,3
male,america,21-25,2023,50
all,america,26-30,2023,63
female,america,26-30,2023,4
male,america,26-30,2023,59
all,america,31-35,2023,55
female,america,31-35,2023,8
male,america,31-35,2023,47
all,america,36-40,2023,45
female,america,36-40,2023,2
male,america,36-40,2023,43
all,america,41-50,2023,69
female,america,41-50,2023,9
male,america,41-50,2023,60
all,america,51-60,2023,28
female,america,51-60,2023,1
male,america,51-60,2023,27
all,america,61-70,2023,7
female,america,61-70,2023,1
male,america,61-70,2023,6
all,america,71+,2023,1
female,america,71+,2023,0
male,america,71+,2023,1
all,america,total,2023,346
female,america,total,2023,29
male,america,total,2023,317
all,asia,18-20,2023,2
female,asia,18-20,2023,1
male,asia,18-20,2023,1
all,asia,21-25,2023,7
female,asia,21-25,2023,0
male,asia,21-25,2023,7
all,asia,26-30,2023,9
female,asia,26-30,2023,0
male,asia,26-30,2023,9
all,asia,31-35,2023,9
female,asia,31-35,2023,0
male,asia,31-35,2023,9
all,asia,36-40,2023,5
female,asia,36-40,2023,1
male,asia,36-40,2023,4
all,asia,41-50,2023,19
female,asia,41-50,2023,0
male,asia,41-50,2023,19
all,asia,51-60,2023,5
female,asia,51-60,2023,0
male,asia,51-60,2023,5
all,asia,61-70,2023,3
female,asia,61-70,2023,0
male,asia,61-70,2023,3
all,asia,71+,2023,0
female,asia,71+,2023,0
male,asia,71+,2023,0
all,asia,total,2023,59
female,asia,total,2023,2
male,asia,total,2023,57
all,espanola,18-20,2023,143
female,espanola,18-20,2023,3
male,espanola,18-20,2023,140
all,espanola,21-25,2023,205
female,espanola,21-25,2023,1
male,espanola,21-25,2023,204
all,espanola,26-30,2023,170
female,espanola,26-30,2023,5
male,espanola,26-30,2023,165
all,espanola,31-35,2023,186
female,espanola,31-35,2023,5
male,espanola,31-35,2023,181
all,espanola,36-40,2023,197
female,espanola,36-40,2023,2
male,espanola,36-40,2023,195
all,espanola,41-50,2023,441
female,espanola,41-50,2023,11
male,espanola,41-50,2023,430
all,espanola,51-60,2023,293
female,espanola,51-60,2023,4
male,espanola,51-60,2023,289
all,espanola,61-70,2023,176
female,espanola,61-70,2023,3
male,espanola,61-70,2023,173
all,espanola,71+,2023,106
female,espanola,71+,2023,1
male,espanola,71+,2023,105
all,espanola,total,2023,1917
female,espanola,total,2023,35
male,espanola,total,2023,1882
all,europa_no_ue27,18-20,2023,0
female,europa_no_ue27,18-20,2023,0
male,europa_no_ue27,18-20,2023,0
all,europa_no_ue27,21-25,2023,4
female,europa_no_ue27,21-25,2023,0
male,europa_no_ue27,21-25,2023,4
all,europa_no_ue27,26-30,2023,12
female,europa_no_ue27,26-30,2023,0
male,europa_no_ue27,26-30,2023,12
all,europa_no_ue27,31-35,2023,11
female,europa_no_ue27,31-35,2023,1
male,europa_no_ue27,31-35,2023,10
all,europa_no_ue27,36-40,2023,6
female,europa_no_ue27,36-40,2023,0
male,europa_no_ue27,36-40,2023,6
all,europa_no_ue27,41-50,2023,8
female,europa_no_ue27,41-50,2023,0
male,europa_no_ue27,41-50,2023,8
all,europa_no_ue27,51-60,2023,4
female,europa_no_ue27,51-60,2023,0
male,europa_no_ue27,51-60,2023,4
all,europa_no_ue27,61-70,2023,4
female,europa_no_ue27,61-70,2023,0
male,europa_no_ue27,61-70,2023,4
all,europa_no_ue27,71+,2023,0
female,europa_no_ue27,71+,2023,0
male,europa_no_ue27,71+,2023,0
all,europa_no_ue27,total,2023,49
female,europa_no_ue27,total,2023,1
male,europa_no_ue27,total,2023,48
all,oceania,18-20,2023,0
female,oceania,18-20,2023,0
male,oceania,18-20,2023,0
all,oceania,21-25,2023,1
female,oceania,21-25,2023,0
male,oceania,21-25,2023,1
all,oceania,26-30,2023,0
female,oceania,26-30,2023,0
male,oceania,26-30,2023,0
all,oceania,31-35,2023,0
female,oceania,31-35,2023,0
male,oceania,31-35,2023,0
all,oceania,36-40,2023,0
female,oceania,36-40,2023,0
male,oceania,36-40,2023,0
all,oceania,41-50,2023,0
female,oceania,41-50,2023,0
male,oceania,41-50,2023,0
all,oceania,51-60,2023,0
female,oceania,51-60,2023,0
male,oceania,51-60,2023,0
all,oceania,61-70,2023,0
female,oceania,61-70,2023,0
male,oceania,61-70,2023,0
all,oceania,71+,2023,0
female,oceania,71+,2023,0
male,oceania,71+,2023,0
all,oceania,total,2023,1
female,oceania,total,2023,0
male,oceania,total,2023,1
all,total,18-20,2023,225
female,total,18-20,2023,6
male,total,18-20,2023,219
all,total,21-25,2023,342
female,total,21-25,2023,4
male,total,21-25,2023,338
all,total,26-30,2023,345
female,total,26-30,2023,10
male,total,26-30,2023,335
all,total,31-35,2023,336
female,total,31-35,2023,19
male,total,31-35,2023,317
all,total,36-40,2023,323
female,total,36-40,2023,8
male,total,36-40,2023,315
all,total,41-50,2023,628
female,total,41-50,2023,23
male,total,41-50,2023,605
all,total,51-60,2023,358
female,total,51-60,2023,5
male,total,51-60,2023,353
all,total,61-70,2023,201
female,total,61-70,2023,4
male,total,61-70,2023,197
all,total,71+,2023,109
female,total,71+,2023,1
male,total,71+,2023,108
all,total,total,2023,2867
female,total,total,2023,80
male,total,total,2023,2787
all,ue27_excl_espana,18-20,2023,9
female,ue27_excl_espana,18-20,2023,0
male,ue27_excl_espana,18-20,2023,9
all,ue27_excl_espana,21-25,2023,8
female,ue27_excl_espana,21-25,2023,0
male,ue27_excl_espana,21-25,2023,8
all,ue27_excl_espana,26-30,2023,21
female,ue27_excl_espana,26-30,2023,0
male,ue27_excl_espana,26-30,2023,21
all,ue27_excl_espana,31-35,2023,29
female,ue27_excl_espana,31-35,2023,2
male,ue27_excl_espana,31-35,2023,27
all,ue27_excl_espana,36-40,2023,24
female,ue27_excl_espana,36-40,2023,1
male,ue27_excl_espana,36-40,2023,23
all,ue27_excl_espana,41-50,2023,42
female,ue27_excl_espana,41-50,2023,2
male,ue27_excl_espana,41-50,2023,40
all,ue27_excl_espana,51-60,2023,15
female,ue27_excl_espana,51-60,2023,0
male,ue27_excl_espana,51-60,2023,15
all,ue27_excl_espana,61-70,2023,10
female,ue27_excl_espana,61-70,2023,0
male,ue27_excl_espana,61-70,2023,10
all,ue27_excl_espana,71+,2023,1
female,ue27_excl_espana,71+,2023,0
male,ue27_excl_espana,71+,2023,1
all,ue27_excl_espana,total,2023,159
female,ue27_excl_espana,total,2023,5
male,ue27_excl_espana,total,2023,154
all,africa,18-20,2024,42
female,africa,18-20,2024,1
male,africa,18-20,2024,41
all,africa,21-25,2024,86
female,africa,21-25,2024,1
male,africa,21-25,2024,85
all,africa,26-30,2024,83
female,africa,26-30,2024,2
male,africa,26-30,2024,81
all,africa,31-35,2024,68
female,africa,31-35,2024,6
male,africa,31-35,2024,62
all,africa,36-40,2024,58
female,africa,36-40,2024,1
male,africa,36-40,2024,57
all,africa,41-50,2024,79
female,africa,41-50,2024,1
male,africa,41-50,2024,78
all,africa,51-60,2024,22
female,africa,51-60,2024,1
male,africa,51-60,2024,21
all,africa,61-70,2024,1
female,africa,61-70,2024,0
male,africa,61-70,2024,1
all,africa,71+,2024,0
female,africa,71+,2024,0
male,africa,71+,2024,0
all,africa,total,2024,439
female,africa,total,2024,13
male,africa,total,2024,426
all,america,18-20,2024,36
female,america,18-20,2024,2
male,america,18-20,2024,34
all,america,21-25,2024,71
female,america,21-25,2024,7
male,america,21-25,2024,64
all,america,26-30,2024,94
female,america,26-30,2024,6
male,america,26-30,2024,88
all,america,31-35,2024,106
female,america,31-35,2024,5
male,america,31-35,2024,101
all,america,36-40,2024,84
female,america,36-40,2024,9
male,america,36-40,2024,75
all,america,41-50,2024,83
female,america,41-50,2024,5
male,america,41-50,2024,78
all,america,51-60,2024,37
female,america,51-60,2024,4
male,america,51-60,2024,33
all,america,61-70,2024,10
female,america,61-70,2024,1
male,america,61-70,2024,9
all,america,71+,2024,3
female,america,71+,2024,0
male,america,71+,2024,3
all,america,total,2024,524
female,america,total,2024,39
male,america,total,2024,485
all,asia,18-20,2024,1
female,asia,18-20,2024,0
male,asia,18-20,2024,1
all,asia,21-25,2024,6
female,asia,21-25,2024,0
male,asia,21-25,2024,6
all,asia,26-30,2024,10
female,asia,26-30,2024,0
male,asia,26-30,2024,10
all,asia,31-35,2024,15
female,asia,31-35,2024,1
male,asia,31-35,2024,14
all,asia,36-40,2024,12
female,asia,36-40,2024,0
male,asia,36-40,2024,12
all,asia,41-50,2024,17
female,asia,41-50,2024,0
male,asia,41-50,2024,17
all,asia,51-60,2024,9
female,asia,51-60,2024,0
male,asia,51-60,2024,9
all,asia,61-70,2024,3
female,asia,61-70,2024,0
male,asia,61-70,2024,3
all,asia,71+,2024,0
female,asia,71+,2024,0
male,asia,71+,2024,0
all,asia,total,2024,73
female,asia,total,2024,1
male,asia,total,2024,72
all,espanola,18-20,2024,246
female,espanola,18-20,2024,5
male,espanola,18-20,2024,241
all,espanola,21-25,2024,300
female,espanola,21-25,2024,10
male,espanola,21-25,2024,290
all,espanola,26-30,2024,217
female,espanola,26-30,2024,9
male,espanola,26-30,2024,208
all,espanola,31-35,2024,228
female,espanola,31-35,2024,7
male,espanola,31-35,2024,221
all,espanola,36-40,2024,285
female,espanola,36-40,2024,8
male,espanola,36-40,2024,277
all,espanola,41-50,2024,538
female,espanola,41-50,2024,12
male,espanola,41-50,2024,526
all,espanola,51-60,2024,430
female,espanola,51-60,2024,4
male,espanola,51-60,2024,426
all,espanola,61-70,2024,202
female,espanola,61-70,2024,3
male,espanola,61-70,2024,199
all,espanola,71+,2024,141
female,espanola,71+,2024,1
male,espanola,71+,2024,140
all,espanola,total,2024,2587
female,espanola,total,2024,59
male,espanola,total,2024,2528
all,europa_no_ue27,18-20,2024,3
female,europa_no_ue27,18-20,2024,0
male,europa_no_ue27,18-20,2024,3
all,europa_no_ue27,21-25,2024,10
female,europa_no_ue27,21-25,2024,0
male,europa_no_ue27,21-25,2024,10
all,europa_no_ue27,26-30,2024,7
female,europa_no_ue27,26-30,2024,2
male,europa_no_ue27,26-30,2024,5
all,europa_no_ue27,31-35,2024,6
female,europa_no_ue27,31-35,2024,1
male,europa_no_ue27,31-35,2024,5
all,europa_no_ue27,36-40,2024,12
female,europa_no_ue27,36-40,2024,1
male,europa_no_ue27,36-40,2024,11
all,europa_no_ue27,41-50,2024,13
female,europa_no_ue27,41-50,2024,2
male,europa_no_ue27,41-50,2024,11
all,europa_no_ue27,51-60,2024,8
female,europa_no_ue27,51-60,2024,1
male,europa_no_ue27,51-60,2024,7
all,europa_no_ue27,61-70,2024,5
female,europa_no_ue27,61-70,2024,1
male,europa_no_ue27,61-70,2024,4
