sex,nationality,age,year,count
male,total,26-30,2017,275
all,total,31-35,2017,311
female,total,31-35,2017,12
male,total,31-35,2017,299
all,total,36-40,2017,303
female,total,36-40,2017,18
male,total,36-40,2017,285
all,total,41-50,2017,465
female,total,41-50,2017,12
male,total,41-50,2017,453
all,total,51-60,2017,304
female,total,51-60,2017,2
male,total,51-60,2017,302
all,total,61-70,2017,170
female,total,61-70,2017,0
male,total,61-70,2017,170
all,total,71+,2017,70
female,total,71+,2017,0
male,total,71+,2017,70
all,total,total,2017,2280
female,total,total,2017,81
male,total,total,2017,2199
all,ue28_excl_espana,18-20,2017,15
female,ue28_excl_espana,18-20,2017,2
male,ue28_excl_espana,18-20,2017,13
all,ue28_excl_espana,21-25,2017,27
female,ue28_excl_espana,21-25,2017,5
male,ue28_excl_espana,21-25,2017,22
all,ue28_excl_espana,26-30,2017,29
female,ue28_excl_espana,26-30,2017,4
male,ue28_excl_espana,26-30,2017,25
all,ue28_excl_espana,31-35,2017,24
female,ue28_excl_espana,31-35,2017,1
male,ue28_excl_espana,31-35,2017,23
all,ue28_excl_espana,36-40,2017,20
female,ue28_excl_espana,36-40,2017,2
male,ue28_excl_espana,36-40,2017,18
all,ue28_excl_espana,41-50,2017,27
female,ue28_excl_espana,41-50,2017,2
male,ue28_excl_espana,41-50,2017,25
all,ue28_excl_espana,51-60,2017,17
female,ue28_excl_espana,51-60,2017,0
male,ue28_excl_espana,51-60,2017,17
all,ue28_excl_espana,61-70,2017,6
female,ue28_excl_espana,61-70,2017,0
male,ue28_excl_espana,61-70,2017,6
all,ue28_excl_espana,71+,2017,2
female,ue28_excl_espana,71+,2017,0
male,ue28_excl_espana,71+,2017,2
all,ue28_excl_espana,total,2017,167
female,ue28_excl_espana,total,2017,16
male,ue28_excl_espana,total,2017,151
all,africa,18-20,2018,18
female,africa,18-20,2018,2
male,africa,18-20,2018,16
all,africa,21-25,2018,29
female,africa,21-25,2018,0
male,africa,21-25,2018,29
all,africa,26-30,2018,35
female,africa,26-30,2018,7
male,africa,26-30,2018,28
all,africa,31-35,2018,35
female,africa,31-35,2018,8
male,africa,31-35,2018,27
all,africa,36-40,2018,35
female,africa,36-40,2018,4
male,africa,36-40,2018,31
all,africa,41-50,2018,27
female,africa,41-50,2018,1
male,africa,41-50,2018,26
all,africa,51-60,2018,6
female,africa,51-60,2018,0
male,africa,51-60,2018,6
all,africa,61-70,2018,0
female,africa,61-70,2018,0
male,africa,61-70,2018,0
all,africa,71+,2018,0
female,africa,71+,2018,0
male,africa,71+,2018,0
all,africa,total,2018,185
female,africa,total,2018,22
male,africa,total,2018,163
all,america,18-20,2018,9
female,america,18-20,2018,0
male,america,18-20,2018,9
all,america,21-25,2018,19
female,america,21-25,2018,0
male,america,21-25,2018,19
all,america,26-30,2018,48
female,america,26-30,2018,4
male,america,26-30,2018,44
all,america,31-35,2018,38
female,america,31-35,2018,3
male,america,31-35,2018,35
all,america,36-40,2018,40
female,america,36-40,2018,1
male,america,36-40,2018,39
all,america,41-50,2018,35
female,america,41-50,2018,2
male,america,41-50,2018,33
all,america,51-60,2018,14
female,america,51-60,2018,0
male,america,51-60,2018,14
all,america,61-70,2018,5
female,america,61-70,2018,0
male,america,61-70,2018,5
all,america,71+,2018,1
female,america,71+,2018,0
male,america,71+,2018,1
all,america,total,2018,209
female,america,total,2018,10
male,america,total,2018,199
all,asia,18-20,2018,6
female,asia,18-20,2018,0
male,asia,18-20,2018,6
all,asia,21-25,2018,8
female,asia,21-25,2018,0
male,asia,21-25,2018,8
all,asia,26-30,2018,8
female,asia,26-30,2018,0
male,asia,26-30,2018,8
all,asia,31-35,2018,7
female,asia,31-35,2018,0
male,asia,31-35,2018,7
all,asia,36-40,2018,11
female,asia,36-40,2018,1
male,asia,36-40,2018,10
all,asia,41-50,2018,10
female,asia,41-50,2018,0
male,asia,41-50,2018,10
all,asia,51-60,2018,2
female,asia,51-60,2018,1
male,asia,51-60,2018,1
all,asia,61-70,2018,0
female,asia,61-70,2018,0
male,asia,61-70,2018,0
all,asia,71+,2018,0
female,asia,71+,2018,0
male,asia,71+,2018,0
all,asia,total,2018,52
female,asia,total,2018,2
male,asia,total,2018,50
all,espanola,18-20,2018,107
female,espanola,18-20,2018,2
male,espanola,18-20,2018,105
all,espanola,21-25,2018,161
female,espanola,21-25,2018,6
male,espanola,21-25,2018,155
all,espanola,26-30,2018,181
female,espanola,26-30,2018,7
male,espanola,26-30,2018,174
all,espanola,31-35,2018,199
female,espanola,31-35,2018,5
male,espanola,31-35,2018,194
all,espanola,36-40,2018,223
female,espanola,36-40,2018,10
male,espanola,36-40,2018,213
all,espanola,41-50,2018,376
female,espanola,41-50,2018,8
male,espanola,41-50,2018,368
all,espanola,51-60,2018,289
female,espanola,51-60,2018,3
male,espanola,51-60,2018,286
all,espanola,61-70,2018,153
female,espanola,61-70,2018,0
male,espanola,61-70,2018,153
all,espanola,71+,2018,101
female,espanola,71+,2018,0
male,espanola,71+,2018,101
all,espanola,total,2018,1790
female,espanola,total,2018,41
male,espanola,total,2018,1749
all,europa_no_ue28,18-20,2018,2
female,europa_no_ue28,18-20,2018,0
male,europa_no_ue28,18-20,2018,2
all,europa_no_ue28,21-25,2018,1
female,europa_no_ue28,21-25,2018,0
male,europa_no_ue28,21-25,2018,1
all,europa_no_ue28,26-30,2018,0
female,europa_no_ue28,26-30,2018,0
male,europa_no_ue28,26-30,2018,0
all,europa_no_ue28,31-35,2018,0
female,europa_no_ue28,31-35,2018,0
male,europa_no_ue28,31-35,2018,0
all,europa_no_ue28,36-40,2018,2
female,europa_no_ue28,36-40,2018,0
male,europa_no_ue28,36-40,2018,2
all,europa_no_ue28,41-50,2018,4
female,europa_no_ue28,41-50,2018,0
male,europa_no_ue28,41-50,2018,4
all,europa_no_ue28,51-60,2018,7
female,europa_no_ue28,51-60,2018,0
male,europa_no_ue28,51-60,2018,7
all,europa_no_ue28,61-70,2018,0
female,europa_no_ue28,61-70,2018,0
male,europa_no_ue28,61-70,2018,0
all,europa_no_ue28,71+,2018,1
female,europa_no_ue28,71+,2018,0
male,europa_no_ue28,71+,2018,1
all,europa_no_ue28,total,2018,17
female,europa_no_ue28,total,2018,0
male,europa_no_ue28,total,2018,17
all,oceania,18-20,2018,0
female,oceania,18-20,2018,0
male,oceania,18-20,2018,0
all,oceania,21-25,2018,0
female,oceania,21-25,2018,0
male,oceania,21-25,2018,0
all,oceania,26-30,2018,0
female,oceania,26-30,2018,0
male,oceania,26-30,2018,0
all,oceania,31-35,2018,0
female,oceania,31-35,2018,0
male,oceania,31-35,2018,0
all,oceania,36-40,2018,0
female,oceania,36-40,2018,0
male,oceania,36-40,2018,0
all,oceania,41-50,2018,0
female,oceania,41-50,2018,0
male,oceania,41-50,2018,0
all,oceania,51-60,2018,0
female,oceania,51-60,2018,0
male,oceania,51-60,2018,0
all,oceania,61-70,2018,0
female,oceania,61-70,2018,0
male,oceania,61-70,2018,0
all,oceania,71+,2018,0
female,oceania,71+,2018,0
male,oceania,71+,2018,0
all,oceania,total,2018,0
female,oceania,total,2018,0
male,oceania,total,2018,0
all,total,18-20,2018,149
female,total,18-20,2018,5
male,total,18-20,2018,144
all,total,21-25,2018,246
female,total,21-25,2018,8
male,total,21-25,2018,238
all,total,26-30,2018,302
female,total,26-30,2018,26
male,total,26-30,2018,276
